# LGBT Screen Titles (Film TV) and Notable Characters

| Title | Format | LGBT characters mentioned | Notes |
| --- | --- | --- | --- |
| Imagine Me & You | Film | Rachel, Luce | Romantic comedy/drama |
| The Girl with the Dragon Tattoo | Film series | Lisbeth Salander, Miriam Wu | Adaptations grouped together |
| Four Weddings and a Funeral | Film | Gareth | Supporting character |
| Mean Girls | Film | Damian | Teen comedy |
| Capote | Film | Truman Capote | Biographical film |
| Goldfinger | Film | Pussy Galore | Bond franchise entry |
| Arisan! | Film | Sakti, Nino | Ensemble cast |
| The History Boys | Film/Theatre | Dakin, Posner | Stage origins emphasized |
| But I'm a Cheerleader | Film | Megan, Graham, Sinead Laren | Conversion therapy satire |
| Scott Pilgrim vs. the World | Film | Roxanne "Roxy" Richter, Wallace Wells | Comic adaptation |
