# American Civil War  Major Campaigns and Theaters Involving the United States (Union)

| Campaign/Theater | Dates | Main Area | Representative Engagements (examples) | Broad Outcome |
| --- | --- | --- | --- | --- |
| Peninsula Campaign | Mar–Jul 1862 | Virginia Peninsula | Seven Pines; Seven Days Battles | Confederate strategic success |
| Maryland Campaign | Sep 1862 | Maryland | South Mountain; Antietam | Union strategic victory |
| Vicksburg Campaign | Dec 1862–Jul 1863 | Mississippi River | Chickasaw Bayou; Champion Hill; Siege of Vicksburg | Union victory; river secured |
| Chattanooga Campaign | Sep–Nov 1863 | Tennessee/Georgia | Chickamauga; Lookout Mountain; Missionary Ridge | Union victory |
| Atlanta Campaign | May–Sep 1864 | Georgia | Kennesaw Mountain; Peachtree Creek; Battle of Atlanta | Union victory |
| Overland Campaign | May–Jun 1864 | Virginia | Wilderness; Spotsylvania; Cold Harbor | Inconclusive tactically; favors Union |
| Shenandoah Valley Campaigns (1864) | Aug–Oct 1864 | Virginia | Third Winchester; Cedar Creek | Union victory |
| Carolinas Campaign | Feb–Apr 1865 | NC/SC | Bentonville; Averasborough | Union victory |
| Red River Campaign | Mar–May 1864 | Louisiana | Mansfield; Pleasant Hill | Confederate victory |
| Trans-Mississippi Theater | 1861–1865 | AR/MO/TX | Wilson's Creek; Pea Ridge | Mixed; Confederate resistance persists |
| Naval Blockade (Anaconda Plan) | 1861–1865 | Atlantic/Gulf coasts | Forts Jackson & St. Philip; Mobile Bay | Union success |
