# Shore durometer
> Method of measurement

| Material | Durometer | Scale |
| --- | --- | --- |
| Bicycle gel seat | 15–30 | OO |
| Chewing gum | 20 | OO |
| Sorbothane | 30–70 | OO |
| Rubber band | 25 | A |
| Door seal | 55 | A |
| Automotive tire tread | 70 | A |
| Soft wheels of roller skates and skateboard | 78 | A |
| Hydraulic O-ring | 70–90 | A |
| Hard wheels of roller skates and skateboard | 98 | A |
| Ebonite rubber | 100 | A |
| Solid truck tires | 50 | D |
| Hard hat (typically HDPE ) | 75 | D |
