# Continental Congress Presidents before Washington  burial sites and memorial locations

| Name | Associated state | Burial place | Memorial / landmark location | Notes |
|---|---|---|---|---|
| Peyton Randolph | Virginia | Williamsburg, Virginia | Colonial Williamsburg, Virginia | Early presiding figure |
| Henry Middleton | South Carolina | Middleton Place, South Carolina | Middleton Place, South Carolina | Plantation estate |
| John Hancock | Massachusetts | Boston, Massachusetts | Boston, Massachusetts | Faneuil Hall area |
| Henry Laurens | South Carolina | Charleston, South Carolina | Charleston, South Carolina | Historic district |
| John Jay | New York | Rye, New York | Katonah, New York | Jay Heritage Center |
| Samuel Huntington | Connecticut | Norwich, Connecticut | Norwich, Connecticut | Local monument |
| Thomas McKean | Delaware | Philadelphia, Pennsylvania | Philadelphia, Pennsylvania | Historical marker |
| John Hanson | Maryland | Oxon Hill, Maryland | Fort Washington area, Maryland | Gravesite noted |
| Elias Boudinot | New Jersey | Burlington, New Jersey | Princeton, New Jersey | Memorial references |
| Nathaniel Gorham | Massachusetts | Charlestown, Massachusetts | Boston area, Massachusetts | Burial reference |
