# Indian States and Their Capitals (Administrative   Judicial   Legislative Seats)

| State | Administrative Capital | Legislative Seat | Judicial Capital (High Court) | Notes on Former/Proposed Capital |
|---|---|---|---|---|
| Andhra Pradesh | Amaravati | Amaravati | Amaravati (AP High Court at Amaravati) | Hyderabad served as capital during the bifurcation transition period |
| Arunachal Pradesh | Itanagar | Itanagar | Itanagar | — |
| Assam | Dispur | Dispur | Guwahati (Gauhati High Court) | — |
| Bihar | Patna | Patna | Patna | — |
| Chhattisgarh | Raipur | Raipur | Bilaspur | — |
| Goa | Panaji | Porvorim | Panaji (Bombay HC at Panaji) | — |
| Gujarat | Gandhinagar | Gandhinagar | Ahmedabad | — |
| Himachal Pradesh | Shimla | Shimla / Dharamshala | Shimla | Dharamshala hosts the winter session of the assembly |
| Jharkhand | Ranchi | Ranchi | Ranchi | — |
| Karnataka | Bengaluru | Bengaluru | Bengaluru | — |
| Kerala | Thiruvananthapuram | Thiruvananthapuram | Kochi (Ernakulam) | — |
| Madhya Pradesh | Bhopal | Bhopal | Jabalpur | — |
| Maharashtra | Mumbai | Mumbai / Nagpur | Mumbai | Nagpur hosts the winter session of the legislature |
| Manipur | Imphal | Imphal | Imphal | — |
