# Leader of the Opposition (Ontario) — Tenure by leader and party

| Leader of the Opposition | Party | Took office | Left office | Notes |
|---|---|---:|---:|---|
| Stephen Lewis | Ontario New Democratic Party (NDP) | 1970 | 1978 | Led the NDP as Official Opposition after the 1975 election |
| Michael Cassidy | Ontario New Democratic Party (NDP) | 1978 | 1982 | Continued as opposition leader following leadership transition |
| Bob Rae | Ontario New Democratic Party (NDP) | 1982 | 1990 | Served until NDP formed government in 1990 |
| Larry Grossman | Progressive Conservative (PC) | 1987 | 1990 | PC became Official Opposition after the 1987 election |
| Mike Harris | Progressive Conservative (PC) | 1990 | 1995 | Led the opposition until winning government in 1995 |
| Dalton McGuinty | Ontario Liberal Party | 1996 | 2003 | Liberals were Official Opposition during the Harris/Eves governments |
| John Tory | Progressive Conservative (PC) | 2007 | 2009 | Became opposition leader after the 2007 election |
| Tim Hudak | Progressive Conservative (PC) | 2009 | 2014 | Led opposition through the 2011 election |
| Andrea Horwath | Ontario New Democratic Party (NDP) | 2018 | 2022 | NDP became Official Opposition after the 2018 election |
| Marit Stiles | Ontario New Democratic Party (NDP) | 2022 | 2025 | Succeeded Horwath as opposition leader |
| Bonnie Crombie | Ontario Liberal Party | 2025 | 2026 | Liberals regained Official Opposition status following a subsequent election |
