# Roster of Texas Confederate Artillery Batteries (state-raised units)

| Battery / Final Designation | Organization / Muster Date (Approx.) | Captain (or Commanding Officer) | Alternate Designations | Armament / Notes |
|---|---|---|---|---|
| 1st Texas Field Battery | 1861 | Capt Edgar E. Bryan | "Bryan's Battery" | Often listed as a field battery in Western operations |
| 2nd Texas Field Battery | 1861 | Capt J. P. Douglas | "Douglas' Battery" | Served with Texas brigades in the West |
| 3rd Texas Field Battery | 1861 | Capt William M. Edgar | "Edgar's Battery" | Sometimes styled as "Edgar's Texas Battery" |
| 4th Texas Field Battery | 1862 | Capt Joseph H. Pratt | "Pratt's Battery" | Organized after early-war volunteer period |
| 5th Texas Field Battery | 1862 | Capt Gaines H. Smith | "Smith's Battery" | Detachments occasionally attached to cavalry commands |
| 6th Texas Field Battery | 1862 | Capt R. W. (Robert W.) Porter | "Porter's Battery" | Frequently cited in Trans-Mississippi listings |
| 7th Texas Field Battery | 1863 | Capt J. B. (John B.) Henson | "Henson's Battery" | Late-war organization; served in departmental defenses |
| 8th Texas Field Battery | 1863 | Capt Samuel T. Swearingen | "Swearingen's Battery" | Sometimes grouped with Texas reserve artillery |
| Texas 1st Heavy Artillery Regiment (Det. Batteries) | 1863 | Col A. J. (Andrew J.) Hamilton | "Texas Heavy Artillery" | Coastal/fort garrison artillery elements |
| Galveston Artillery (Confederate service) | 1861 | Capt W. H. (William H.) Odlum | "Galveston Battery" | Port-defense artillery unit associated with Galveston |
| Austin Artillery (Confederate service) | 1861 | Capt James A. (A.) Greer | "Austin Battery" | City-named battery used in regional defense |
