# Africa-Focused Country-to-Capital Reference (Administrative vs. Official Capital Noted)

| Country | Official capital | Administrative/seat of government | Remarks |
|---|---|---|---|
| Benin | Porto-Novo | Cotonou | Government institutions largely in Cotonou |
| Cameroon | Yaounde | Yaounde | Official and administrative capital align |
| The Gambia | Banjul | Banjul | Coastal capital city |
| Libya | Tripoli | Tripoli | National capital |
| Mauritius | Port Louis | Port Louis | Official and administrative capital align |
| Namibia | Windhoek | Windhoek | National capital |
| Rwanda | Kigali | Kigali | National capital |
| Sierra Leone | Freetown | Freetown | National capital |
| Uganda | Kampala | Kampala | National capital |
| Zimbabwe | Harare | Harare | National capital |
