# U.S. Dental Schools — Specialty-Oriented Ranking (Orthodontics Track)

| Rank | Dental School | Location | Sub-focus |
|---:|---|---|---|
| 1 | University of Washington School of Dentistry | Seattle, WA | Craniofacial research & clinical orthodontics |
| 2 | University of Pennsylvania School of Dental Medicine | Philadelphia, PA | Residency placements & research mentoring |
| 3 | University of California, San Francisco (UCSF) School of Dentistry | San Francisco, CA | Evidence-based orthodontic training |
| 4 | University of North Carolina at Chapel Hill Adams School of Dentistry | Chapel Hill, NC | Strong clinical volume |
| 5 | University of Michigan School of Dentistry | Ann Arbor, MI | Comprehensive specialty clinics |
| 6 | University of California, Los Angeles (UCLA) School of Dentistry | Los Angeles, CA | Interdisciplinary cases |
| 7 | Indiana University School of Dentistry | Indianapolis, IN | Clinical orthodontics emphasis |
| 8 | Ohio State University College of Dentistry | Columbus, OH | Research + community-based practice |
| 9 | University of Florida College of Dentistry | Gainesville, FL | Broad patient base |
| 10 | Boston University Henry M. Goldman School of Dental Medicine | Boston, MA | Urban clinic exposure |
