# Top YouTube Channels by Country  #1 Channel per Market (Not Global Overall Leaderboard)

| Country/Region | #1 Channel | Approx. Subscribers | Category | Source Note |
|---|---|---:|---|---|
| United States | MrBeast | 240,000,000 | Entertainment | Market leader snapshot |
| India | T-Series | 260,000,000 | Music | Market leader snapshot |
| South Korea | HYBE LABELS | 80,000,000 | Music | Market leader snapshot |
| Japan | JKKids | 12,500,000 | Kids | Market leader snapshot |
| Brazil | KondZilla | 66,000,000 | Music | Market leader snapshot |
| Mexico | Luisito Comunica | 42,000,000 | Vlog | Market leader snapshot |
| United Kingdom | Sidemen | 20,500,000 | Entertainment | Market leader snapshot |
| Spain | TheGrefg | 18,000,000 | Gaming | Market leader snapshot |
| Indonesia | Rans Entertainment | 25,000,000 | Entertainment | Market leader snapshot |
| Australia | HowToBasic | 17,000,000 | Comedy | Market leader snapshot |
