# List of LGBT characters in television series (TV-only, projects explicitly labeled)

| Character | TV series title | Orientation / Gender identity | Role type | First appearance (season/episode) |
| --- | --- | --- | --- | --- |
| David Rose | Schitt's Creek | Pansexual | Main | S1E1 |
| Patrick Brewer | Schitt's Creek | Gay | Main | S3E8 |
| Sofia Burset | Orange Is the New Black | Transgender woman | Main | S1E1 |
| Nomi Marks | Sense8 | Transgender woman | Main | S1E1 |
| Eric Effiong | Sex Education | Gay | Main | S1E1 |
| Adam Groff | Sex Education | Bisexual | Main | S1E1 |
| Mae Martin (Mae) | Feel Good | Lesbian | Main | S1E1 |
| Villanelle (Oksana Astankova) | Killing Eve | Bisexual | Main | S1E1 |
| Eve Polastri | Killing Eve | Queer (not explicitly labeled on-screen) | Main | S1E1 |
