# LPGA Corning Classic
> Winners

| Year | Dates | Champion | Country | Score | Purse | Winner's Share |
| --- | --- | --- | --- | --- | --- | --- |
| 2009 | May 21–24 | Yani Tseng | Taiwan | 267 (-21) | $1,500,000 | $225,000 |
| 2008 * | May 22–25 | Leta Lindley | United States | 277 (-11) | $1,500,000 | $225,000 |
| 2007 | May 24–27 | Young Kim | South Korea | 268 (-20) | $1,300,000 | $195,000 |
| 2006 * | May 25–28 | Hee-Won Han | South Korea | 273 (-15) | $1,200,000 | $180,000 |
| 2005 | May 26–29 | Jimin Kang | South Korea | 273 (-15) | $1,100,000 | $165,000 |
| 2004 | May 27–30 | Annika Sörenstam | Sweden | 270 (-18) | $1,000,000 | $150,000 |
| 2003 | May 22–25 | Juli Inkster | United States | 264 (-24) | $1,000,000 | $150,000 |
| 2002 | May 23–26 | Laura Diaz | United States | 274 (-14) | $1,000,000 | $150,000 |
| 2001 | May 24–27 | Carin Koch | Sweden | 270 (-18) | $900,000 | $135,000 |
| 2000 * | May 25–28 | Betsy King | United States | 276 (-12 | $800,000 | $120,000 |
| 1999 | May 27–30 | Kelli Kuehne | United States | 278 (-10) | $750,000 | $112,500 |
| 1998 | May 21–24 | Tammie Green | United States | 268 (-20) | $700,000 | $105,000 |
| 1997 * | May 22–25 | Rosie Jones | United States | 277 (-11) | $650,000 | $97,500 |
| 1996 | May 23–26 | Rosie Jones | United States | 276 (-12) | $600,000 | $90,000 |
| 1995 | May 25–28 | Alison Nicholas | England | 275 (-13) | $550,000 | $82,500 |
| 1994 | May 26–29 | Beth Daniel | United States | 278 (-10) | $500,000 | $75,000 |
| 1993 * | May 27–30 | Kelly Robbins | United States | 277 (-11) | $500,000 | $75,000 |
| 1992 | May 21–24 | Colleen Walker | United States | 276 (-12) | $450,000 | $67,500 |
| 1991 | May 23–26 | Betsy King | United States | 273 (-15) | $400,000 | $60,000 |
| 1990 | May 24–27 | Pat Bradley | United States | 274 (-10) | $350,000 | $52,500 |
| 1989 | May 25–28 | Ayako Okamoto | Japan | 272 (-12) | $325,000 | $48,750 |
| 1988 | May 26–29 | Sherri Turner | United States | 273 (-15) | $325,000 | $48,750 |
| 1987 | May 28–31 | Cindy Rarick | United States | 275 (-13) | $275,000 | $41,250 |
| 1986 | May 22–25 | Laurie Rinker | United States | 278 (-10) | $250,000 | $37,500 |
| 1985 | May 23–36 | Patti Rizzo | United States | 272 (-16) | $250,000 | $37,500 |
| 1984 | May 24–27 | JoAnne Carner | United States | 281 (-7) | $150,000 | $22,500 |
| 1983 | May 26–29 | Patty Sheehan | United States | 272 (-16) | $150,000 | $22,500 |
| 1982 * | May 27–30 | Sandra Spuzich | United States | 280 (-8) | $200,000 | $30,000 |
| 1981 | May 21–24 | Kathy Hite | United States | 282 (-6) | $125,000 | $18,750 |
| 1980 | May 22–25 | Donna Caponi | United States | 281 (-7) | $125,000 | $18,750 |
| 1979 | May 24–27 | Penny Pulz | Australia | 281 (-7) | $100,000 | $15,000 |
