# Economy of Serbia
> Overview

| Year | GDP (USD bn) | GDP growth rate | GDP per capita (Nominal) | GDP per capita (PPP) | Unemployment rate |
| --- | --- | --- | --- | --- | --- |
| 1997 | n/a | n/a | n/a | n/a | 12.3 |
| 1998 | n/a | n/a | 2,039 | n/a | 12.8 |
| 1999 | n/a | -11.2 | 1,444 | n/a | 13.3 |
| 2000 | 8.66 | +5.3 | 1,152 | 6,233 | 12.1 |
| 2001 | 11.43 | +5.3 | 1,524 | 6,725 | 12.2 |
| 2002 | 15.16 | +4.3 | 2,021 | 7,128 | 14.5 |
| 2003 | 19.58 | +2.5 | 2,617 | 7,472 | 16.0 |
| 2004 | 23.54 | +9.3 | 3,154 | 8,413 | 19.5 |
| 2005 | 25.06 | +5.4 | 3,368 | 9,181 | 21.8 |
| 2006 | 29.33 | +3.6 | 3,957 | 9,838 | 21.6 |
| 2007 | 39.16 | +5.4 | 5,304 | 10,687 | 18.8 |
| 2008 | 47.67 | +3.8 | 6,485 | 11,361 | 14.7 |
| 2009 | 40.24 | -3.5 | 5,497 | 11,090 | 17.4 |
| 2010 | 36.38 | +1.0 | 5,030 | 11,385 | 20.0 |
| 2011 | 43.77 | +1.6 | 6,030 | 11,854 | 24.4 |
| 2012 | 38.09 | -1.5 | 5,291 | 11,982 | 23.1 |
| 2013 | 42.49 | +2.6 | 5,902 | 12,465 | 21.0 |
| 2014 | 42.65 | -0.6 | 5,924 | 12,605 | 21.6 |
