# LGBT characters appearing in both film and TV (separate columns for TV series vs film, explicit project type)

| Character | TV series title | Film title | Orientation / Gender identity | Notes |
| --- | --- | --- | --- | --- |
| Harley Quinn | Harley Quinn (animated series) | Birds of Prey | Bisexual | Appears as lead across TV animation and live-action film |
| Deadpool (Wade Wilson) | Deadpool (animated series) | Deadpool | Pansexual | Character is explicitly associated with films; also has TV animation adaptations |
| Negasonic Teenage Warhead (Ellie Phimister) | Deadpool (animated series) | Deadpool 2 | Lesbian | Screen versions span TV animation and film franchise |
| Wonder Woman (Diana Prince) | Wonder Woman (TV series) | Wonder Woman | Bisexual (various screen interpretations) | Multiple screen incarnations; orientation depiction varies by version |
| John Constantine | Constantine (TV series) | Constantine: City of Demons (film) | Bisexual | Orientation referenced in TV; also present in animated film |
| Jack Harkness | Torchwood | Doctor Who (TV Movie) | Bisexual | Character introduced in Doctor Who and leads Torchwood |
| Sarah Lance (White Canary) | Legends of Tomorrow | DC's Legends of Tomorrow: The Movie (special) | Bisexual | TV lead; occasional film/special versions credited separately |
| Sailor Uranus (Haruka Tenoh) | Sailor Moon (TV series) | Sailor Moon R: The Movie | Lesbian | Relationship depiction differs by adaptation/release |
| Angel Dust | Hazbin Hotel (TV series) | Hazbin Hotel: Addict (short film) | Gay | Same character appears in series and a short film project |
