# Baby Names by Origin and Meaning (Mixed Cultures)

| Name | Gender | Origin (Language/Culture/Region) | Meaning |
| --- | --- | --- | --- |
| Amara | Girl | Igbo (Nigeria) / Sanskrit (India) | Grace (Igbo) / Immortal (Sanskrit) |
| Leila | Girl | Arabic | Night; dark beauty |
| Mateo | Boy | Spanish (from Latin) | Gift of God |
| Freya | Girl | Old Norse (Scandinavia) | Lady; associated with love and fertility |
| Sienna | Girl | Italian (Tuscany) | From Siena; reddish-brown |
| Kai | Boy/Girl | Hawaiian / Japanese | Sea (Hawaiian) / Forgiveness (Japanese, depending on kanji) |
| Ezra | Boy | Hebrew | Help; helper |
| Nadia | Girl | Slavic (Russian/Ukrainian) | Hope |
| Arjun | Boy | Sanskrit (India) | Bright; shining; a hero name in the Mahabharata |
| Amina | Girl | Arabic / Swahili usage | Trustworthy; faithful |
| Ines | Girl | Spanish/Portuguese (from Greek) | Pure; chaste |
| Rowan | Boy/Girl | Irish / Scottish Gaelic | Little red one; rowan tree |
