# LINDOR Truffles  Mixed Classic Flavours (Wrapper Colour Guide)

| Category | Wrapper colour | Flavour name | Short description | Notes |
|---|---|---|---|---|
| Dark-style | Black | Extra Dark 60% | Dark shell with a richer, less-sweet dark truffle center | Core dark variant |
| Dark-style | Blue | Dark Chocolate | Dark chocolate shell with smooth dark filling | Classic dark |
| Dark-style | Black with Green | Dark Mint | Dark chocolate with minty truffle center | Often seasonal |
| Milk-style | Red | Milk Chocolate | Milk chocolate shell with creamy milk center | Non-dark |
| White-style | White | White Chocolate | White shell with sweet white center | Non-dark |
| Nut | Gold | Hazelnut | Milk chocolate with nutty praline-style center | Non-dark base |
| Specialty | Light Blue | Stracciatella | White chocolate with cocoa pieces and smooth filling | Non-dark |
| Liqueur | Light Pink | Irish Cream | Creamy center with Irish-cream-style flavouring | Non-dark |
| Limited | Silver | Strawberries & Cream | Fruity creamy center in milk-style shell | Non-dark |
| Seasonal | Green | Pistachio | Nutty pistachio center | Typically milk/white base |
