# Per-State Timeline of Filing Actions (Multiple Rows per State)

| State | Step | Deadline Date | Action | Outcome if Missed |
|---|---:|---|---|---|
| Missouri | 1 | 2024-04-15 | Pay expected tax | Interest may accrue |
| Missouri | 2 | 2024-04-15 | File extension request | Extension not valid if not filed |
| Missouri | 3 | 2024-10-15 | File return (extended) | Late filing penalty |
| New Jersey | 1 | 2024-04-15 | File NJ extension form | No extension if not filed |
| New Jersey | 2 | 2024-04-15 | Make extension payment | Penalty may apply |
| New Jersey | 3 | 2024-10-15 | File return (extended) | Late filing penalty |
| Ohio | 1 | 2024-04-15 | File return or extension | Penalty/interest |
| Ohio | 2 | 2024-10-15 | File return (extended) | Late filing penalty |
| Virginia | 1 | 2024-05-01 | File return or extension | Penalty/interest |
| Virginia | 2 | 2024-11-01 | File return (extended) | Late filing penalty |
| Pennsylvania | 1 | 2024-04-15 | File return or extension | Penalty/interest |
| Pennsylvania | 2 | 2024-10-15 | File return (extended) | Late filing penalty |
