# Drag Race Seasons  Contestant Roster with Return Flags

| Season | Queen | Placement | Returned? | Return context |
|---|---|---|---|---|
| Season 6 | Bianca Del Rio | Winner | No | — |
| Season 6 | Adore Delano | Runner-up | No | — |
| Season 6 | BenDeLaCreme | 5th | Yes | Returned after elimination |
| Season 7 | Violet Chachki | Winner | No | — |
| Season 7 | Ginger Minj | Runner-up | No | — |
| Season 7 | Trixie Mattel | 6th | Yes | Returned to competition |
| Season 8 | Bob the Drag Queen | Winner | No | — |
| Season 8 | Naomi Smalls | 2nd/3rd | No | — |
| Season 8 | Naysha Lopez | 9th | Yes | Re-entered after elimination |
| Season 9 | Sasha Velour | Winner | No | — |
| Season 9 | Cynthia Lee Fontaine | 10th | Yes | Returned (re-cast) |
