# Common Inorganic Coordination Ligands  Formulas, Binding Atoms, and Net Ligand Charge

| Ligand (common name) | Ligand species / formula (donor atom in brackets) | Typical denticity | Net ligand charge | Charge class |
|---|---|---:|---:|---|
| Aqua | H2O [O] | 1 | 0 | neutral |
| Hydroxo | OH− [O] | 1 | −1 | anionic |
| Oxo | O2− [O] | 1 | −2 | anionic |
| Peroxo | O2^2− [O,O] | 2 | −2 | anionic |
| Superoxo | O2− [O,O] | 1–2 | −1 | anionic |
| Fluorido | F− [F] | 1 | −1 | anionic |
| Chlorido | Cl− [Cl] | 1 | −1 | anionic |
| Bromido | Br− [Br] | 1 | −1 | anionic |
| Iodido | I− [I] | 1 | −1 | anionic |
| Cyanido | CN− [C] | 1 | −1 | anionic |
| Thiocyanato | SCN− [S] or [N] | 1 | −1 | anionic |
| Carbonyl | CO [C] | 1 | 0 | neutral |
| Nitrosyl (linear) | NO+ [N] | 1 | +1 | cationic |
| Nitrito | NO2− [O] | 1 | −1 | anionic |
| Nitrato | NO3− [O] | 1 | −1 | anionic |
