# Law & Order  Special Victims Unit — Episode  Broken Trust  (Season 18) Cast (Performers and Credited Roles)

| Appearance type | Performer | Credited role |
| --- | --- | --- |
| Main | Mariska Hargitay | Olivia Benson |
| Main | Peter Scanavino | Dominick Carisi Jr. |
| Main | Kelli Giddish | Amanda Rollins |
| Main | Ice-T | Odafin "Fin" Tutuola |
| Main | Raúl Esparza | Rafael Barba |
| Guest | Elisabeth Röhm | Kimberly Kessler |
| Guest | Keith Carradine | Judge Robert Taft |
| Guest | Aisha Hinds | Dana Lewis |
| Guest | Dylan Walsh | Gary Connors |
