# Selected U.S. Supreme Court Justices and the Presidents Who Nominated Them (Mid-20th Century to Early 21st Century)

| Justice | Nominated/Appointed by (President) | Nomination Year | Confirmation Vote | Previous Role (at nomination) | Notes |
| --- | --- | --- | --- | --- | --- |
| Earl Warren | Dwight D. Eisenhower | 1953 | Voice vote | Governor of California | Became Chief Justice |
| William J. Brennan Jr. | Dwight D. Eisenhower | 1956 | Voice vote | Judge, NJ Supreme Court | Initially a recess appointment |
| Thurgood Marshall | Lyndon B. Johnson | 1967 | 69–11 | U.S. Solicitor General | First Black justice |
| Harry A. Blackmun | Richard Nixon | 1970 | 94–0 | Judge, U.S. Court of Appeals (8th Cir.) | Author of Roe v. Wade opinion |
| John Paul Stevens | Gerald Ford | 1975 | 98–0 | Judge, U.S. Court of Appeals (7th Cir.) | Longest-serving justice at retirement |
| Sandra Day O'Connor | Ronald Reagan | 1981 | 99–0 | Judge, Arizona Court of Appeals | First woman justice |
| Anthony M. Kennedy | Ronald Reagan | 1987 | 97–0 | Judge, U.S. Court of Appeals (9th Cir.) | Often the swing vote in 1990s–2000s |
| Ruth Bader Ginsburg | Bill Clinton | 1993 | 96–3 | Judge, U.S. Court of Appeals (D.C. Cir.) | Noted gender equality advocate |
| John G. Roberts Jr. | George W. Bush | 2005 | 78–22 | Judge, U.S. Court of Appeals (D.C. Cir.) | Became Chief Justice |
| Sonia Sotomayor | Barack Obama | 2009 | 68–31 | Judge, U.S. Court of Appeals (2nd Cir.) | First Latina justice |
