# High-Fiber Foods by Typical Serving (Legumes, Vegetables, Nuts & Seeds)

| Category | Food item | Serving size (typical portion) | Dietary fiber (g per serving) |
|---|---|---|---|
| Legumes | Lentils, cooked | 1/2 cup | 7.8 |
| Legumes | Black beans, cooked | 1/2 cup | 7.5 |
| Legumes | Chickpeas (garbanzo), cooked | 1/2 cup | 6.3 |
| Legumes | Split peas, cooked | 1/2 cup | 8.1 |
| Vegetables | Artichoke, cooked | 1 medium | 10.3 |
| Vegetables | Brussels sprouts, cooked | 1 cup | 4.1 |
| Vegetables | Sweet potato, baked (with skin) | 1 medium | 3.8 |
| Nuts & seeds | Chia seeds | 2 Tbsp | 9.8 |
| Nuts & seeds | Ground flaxseed | 2 Tbsp | 4.0 |
| Nuts & seeds | Almonds | 1 oz (about 23 nuts) | 3.5 |
| Nuts & seeds | Pumpkin seeds (pepitas) | 1 oz | 2.0 |
