# Athletics Canada
> Provincial governing bodies

| Province | Federation | Website Link |
| --- | --- | --- |
| British Columbia | British Columbia Athletics Association | http://www.bcathletics.org |
| Alberta | Athletics Alberta | http://www.athleticsalberta.com |
| Saskatchewan | Saskatchewan Athletics Association | http://www.saskathletics.ca/ |
| Manitoba | Athletics Manitoba | http://www.athleticsmanitoba.com |
| Ontario | Athletics Ontario | http://www.athleticsontario.ca |
| Quebec | Quebec Athletics Federation ( Fédération Québécoise d'Athlétisme ) | https://web.archive.org/web/20070911213332/http://www.athletisme.qc.ca:80/ |
| New Brunswick | Athletics New Brunswick | http://www.anb.ca |
| Nova Scotia | Athletics Nova Scotia | http://www.athleticsnovascotia.ca |
| Prince Edward Island | Prince Edward Island Athletics Association | http://www.athleticspei.ca/ |
| Newfoundland and Labrador | Newfoundland and Labrador Athletics Association | http://www.nlaa.ca |
| Yukon | Athletics Yukon | http://www.athleticsyukon.ca |
| Northwest Territories | Sport North Federation | https://web.archive.org/web/20130416023943/http://www.sportnorth.com:80/Content/Home.asp |
