# Citibank Incoming Wire Routing Numbers by State Region (U.S. Domestic Wires)

| State/Region | Wire Type | Incoming Wire Routing Number | Notes |
| --- | --- | --- | --- |
| New York | Domestic incoming wire | 021000089 | Use for Citibank incoming wires to NY-based accounts |
| California (Northern & Central) | Domestic incoming wire | 321171184 | Incoming wire routing for Northern/Central CA region |
| California (Southern) | Domestic incoming wire | 322271724 | Incoming wire routing for Southern CA region |
| Florida | Domestic incoming wire | 266086554 | Incoming wire routing for Florida |
| Texas | Domestic incoming wire | 113193532 | Incoming wire routing for Texas |
| Virginia & Washington, DC | Domestic incoming wire | 254070116 | Incoming wire routing for VA/DC region |
| Maryland | Domestic incoming wire | 254070116 | Incoming wire routing used for Maryland |
| Illinois | Domestic incoming wire | 271070801 | Incoming wire routing for Illinois |
| Massachusetts | Domestic incoming wire | 221172610 | Incoming wire routing for Massachusetts |
| New Jersey | Domestic incoming wire | 021272655 | Incoming wire routing for New Jersey |
| Pennsylvania | Domestic incoming wire | 021272655 | Incoming wire routing for Pennsylvania |
| Delaware | Domestic incoming wire | 021272655 | Incoming wire routing for Delaware |
