# Global YouTube Channel Leaderboard (Most Subscribed Channels)

| Rank | YouTube channel | Subscribers (approx.) | Category | Country/Region | Primary language |
| ---: | --- | ---: | --- | --- | --- |
| 1 | T-Series | 270,000,000 | Music | India | Hindi |
| 2 | MrBeast | 240,000,000 | Entertainment | United States | English |
| 3 | Cocomelon - Nursery Rhymes | 185,000,000 | Kids | United States | English |
| 4 | SET India | 178,000,000 | Entertainment | India | Hindi |
| 5 | Kids Diana Show | 125,000,000 | Kids | Ukraine | English |
| 6 | Like Nastya | 120,000,000 | Kids | United States | English |
| 7 | Vlad and Niki | 120,000,000 | Kids | Russia | English |
| 8 | Zee Music Company | 110,000,000 | Music | India | Hindi |
| 9 | PewDiePie | 111,000,000 | Gaming/Entertainment | Sweden | English |
| 10 | WWE | 100,000,000 | Sports | United States | English |
| 11 | BLACKPINK | 95,000,000 | Music | South Korea | Korean |
| 12 | 5-Minute Crafts | 80,000,000 | How-to | United States | English |
