# New Hampshire Presidential Primary (Democratic) — Winners and Runners-up by Year

| Primary date | Party contest | Winner (first place) | Runner-up | Notes |
|---|---|---|---|---|
| Jan 23, 2024 | Democratic | Joe Biden | Dean Phillips | Incumbent president; write-in campaign credited as Biden win |
| Feb 11, 2020 | Democratic | Bernie Sanders | Pete Buttigieg | Close margin; both later competed through Super Tuesday |
| Jan 10, 2012 | Democratic | Barack Obama | No major opponent | Incumbent ran largely unopposed in NH |
| Jan 8, 2008 | Democratic | Hillary Clinton | Barack Obama | High-turnout early-state contest |
| Jan 27, 2004 | Democratic | John Kerry | Howard Dean | Kerry’s win boosted national momentum |
| Feb 1, 2000 | Democratic | Al Gore | Bill Bradley | Followed Iowa caucuses earlier that month |
| Feb 18, 1992 | Democratic | Paul Tsongas | Bill Clinton | Early upset that briefly reshaped the race |
| Feb 14, 1984 | Democratic | Walter Mondale | Gary Hart | One of several tight early contests |
| Feb 24, 1976 | Democratic | Jimmy Carter | Mo Udall | Carter used NH result to build viability |
