# Xbox 360 System Link (LAN) Games — Party & Family Titles with Local Network Support

| Title | Category | System Link supported | LAN use-case | Total players (LAN) | Players per console | Split-screen | Typical setup |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Blur | Racing | Yes | LAN racing | 20 | 1 | No | Multiple consoles on same router/switch |
| Split/Second | Racing | Yes | LAN racing | 8 | 1 | No | Console-per-player style LAN lobby |
| Bomberman Live: Battlefest | Party | Yes | LAN party matches | 8 | 1 | No | 8 consoles in a local session |
| Lego Star Wars: The Complete Saga | Co-op | Yes | LAN co-op | 4 | 2 | Yes | Two consoles, each with 2-player split-screen |
| Lego Batman: The Videogame | Co-op | Yes | LAN co-op | 4 | 2 | Yes | Local co-op across consoles (split-screen optional) |
| Civilization Revolution | Strategy | Yes | LAN multiplayer | 4 | 1 | No | 2–4 consoles on a local network |
| FlatOut: Ultimate Carnage | Racing | Yes | LAN racing | 8 | 1 | No | Head-to-head LAN races |
| WWE SmackDown vs. Raw 2007 | Fighting | Yes | LAN versus | 8 | 4 | Yes | Multi-console LAN with up to 4 per console |
| Dead Rising 2 | Action | Yes | LAN co-op | 2 | 2 | Yes | Two-player co-op over LAN |
| Kane & Lynch: Dead Men | Shooter | Yes | LAN co-op | 2 | 1 | No | 2 consoles linked for co-op |
| Rainbow Six: Vegas | Tactical shooter | Yes | LAN co-op/versus | 16 | 2 | Yes | LAN sessions for custom matches |
| Virtua Tennis 3 | Sports | Yes | LAN versus | 4 | 2 | Yes | Two consoles with split-screen for doubles |
