# Starbucks Brewed Coffee & Tea Lattes  Caffeine by Size (Regular vs Decaf Herbal Where Applicable)

| Drink (Starbucks menu item) | Short (8 fl oz) | Tall (12 fl oz) | Grande (16 fl oz) | Venti (20 fl oz) |
| --- | ---: | ---: | ---: | ---: |
| **Brewed Coffee** |  |  |  |  |
| Pike Place Roast (Brewed Coffee) | 155 mg | 235 mg | 310 mg | 410 mg |
| Brewed Decaf Coffee | 10 mg | 15 mg | 20 mg | 25 mg |
| **Tea Lattes (Teavana/Chai)** |  |  |  |  |
| Chai Tea Latte | 50 mg | 70 mg | 95 mg | 120 mg |
| Chai Tea Latte (Decaf) | 0 mg | 0 mg | 5 mg | 5 mg |
| Earl Grey Tea Latte | 40 mg | 40 mg | 60 mg | 80 mg |
| Green Tea Latte | 25 mg | 55 mg | 80 mg | 110 mg |
| **Herbal / No-Caffeine** |  |  |  |  |
| Youthberry (Herbal Infusion) | 0 mg | 0 mg | 0 mg | 0 mg |
| White Hot Chocolate | 0 mg | 0 mg | 0 mg | 0 mg |
