# BBC Sports Personality of the Year  Award Categories and Introduction Years

| Category / Sub-award | First presented | Notes |
| --- | ---: | --- |
| Main Sports Personality of the Year | 1954 | Flagship BBC annual award |
| Overseas Sports Personality of the Year | 1960 | For non-UK athletes |
| Team of the Year | 1967 | Sometimes voted separately |
| Coach of the Year | 1999 | Coaching/management recognition |
| Lifetime Achievement Award | 1996 | Career-spanning honor |
| Helen Rollason Award | 1999 | Courage/achievement in adversity |
| Young Sports Personality of the Year | 1999 | Youth-focused honor |
| Unsung Hero Award | 2004 | Community/grassroots recognition |
| Sports Personality of the Year: Special Award | 1970 | Used irregularly across years |
