# Super Smash Bros. Melee Unlockables Checklist (Stages & Items Focus)

| Unlockable Type | Name | How to Unlock (Mode/Condition) | Notes |
| --- | --- | --- | --- |
| Stage | Final Destination | Clear Event 51 | Not a playable fighter |
| Stage | Brinstar Depths | Clear Event 18 | Stage unlock |
| Stage | Fourside | Clear Event 20 | Stage unlock |
| Item | Home-Run Bat (Trophy) | Play Home-Run Contest | Collectible trophy |
| Trophy | Celebi | Randomly appears in Poké Ball | Non-fighter collectible |
| Trophy | Captain Olimar | Load a Pikmin save on the Memory Card | Cameo/trophy, not playable |
| Mode | All-Star Mode | Unlock 24 characters (various) | Refers to fighters but not an unlock list |
| Item | Super Mushroom (Trophy) | Lottery / random trophy drop | Collectible |
| Stage | Battlefield | Available by default | Not unlockable in Melee |
