# Need for Speed franchise timeline (grouped by year rather than per-title rows)

| Release year | Need for Speed titles released that year | Notes |
|---|---|---|
| 1994 | The Need for Speed | Series debut |
| 1995 | Need for Speed II | PC/PlayStation |
| 1997 | Need for Speed II: Special Edition; Need for Speed V-Rally (spin-off mention) | Multiple titles squeezed |
| 2003 | Need for Speed: Underground; Need for Speed: Porsche 2000 (regional re-release) | Bundled in one cell |
| 2005 | Need for Speed: Most Wanted; Need for Speed: Underground 2 (late ports) | Not one title per row |
| 2010 | Need for Speed: World; Need for Speed: Hot Pursuit | Two games in one cell |
| 2011 | Shift 2: Unleashed; Need for Speed: The Run | Two games in one cell |
| 2015 | Need for Speed (2015) | Reboot entry |
| 2019 | Need for Speed Heat | Modern era |
| 2022 | Need for Speed Unbound | Latest mainline |
