# Popular Baby Names by Category (Rank Included, Not Split by Gender Columns)

| Rank | Name | Type | Origin Region | Notes |
| --- | --- | --- | --- | --- |
| 1 | Emma | Classic | Europe | Short, traditional feel |
| 2 | Liam | Modern Classic | Ireland | Surname-style popularity |
| 3 | Olivia | Vintage | Europe | Literary usage |
| 4 | Noah | Biblical | Middle East | Old Testament name |
| 5 | Sophia | Virtue | Greece | Philosophy association |
| 6 | Mason | Occupational | England/France | Job-based surname |
| 7 | Ava | Short & Sweet | Europe | Compact two-syllable |
| 8 | Jacob | Biblical | Middle East | Patriarchal name |
| 9 | Isabella | Royal | Europe | Romance-language form |
| 10 | Ethan | Biblical | Middle East | Longstanding usage |
