# Statute of Limitations by State for Contract Debt Actions (Oral vs Written)

| State | Oral contract / verbal agreement (years) | Written contract / agreement (years) | Notes |
| --- | ---: | ---: | --- |
| Alabama | 6 | 6 | General contract actions; confirm if a specific debt type changes the period |
| Georgia | 4 | 6 | Often cited split between oral and written contracts |
| Illinois | 5 | 10 | Written contracts frequently have a longer window than oral |
| Michigan | 6 | 6 | Many sources treat contract actions similarly for oral vs written |
| Minnesota | 6 | 6 | Contract limitations often aligned across agreement types |
| Missouri | 5 | 10 | Commonly summarized as 5 (oral) / 10 (written) |
| Texas | 4 | 4 | Commonly summarized as 4 years for contract actions |
| Washington | 3 | 6 | A frequently-cited split for contract claims |
| Wisconsin | 6 | 6 | Many summaries show parity between oral and written contract periods |
| Wyoming | 8 | 10 | Often summarized as longer periods than many states |
