# Repeat Participation Matrix — Queens and Where They Return (US Seasons 6–9 Focus)

| Queen | First Appearance | Later Appearance 1 (Type) | Later Appearance 2 (Type) | Return Status Summary |
|---|---|---|---|---|
| Cynthia Lee Fontaine | Season 8 | Season 9 (Competitor return) | — | Returned as a contestant in a later regular season |
| Naysha Lopez | Season 8 | — | — | No later season return listed here |
| Naomi Smalls | Season 8 | All Stars 4 (All Stars) | — | Returned for All Stars |
| Derrick Barry | Season 8 | All Stars 5 (All Stars) | — | Returned for All Stars |
| Thorgy Thor | Season 8 | All Stars 3 (All Stars) | — | Returned for All Stars |
| Kim Chi | Season 8 | — | — | No later season return listed here |
| Robbie Turner | Season 8 | — | — | No later season return listed here |
| Acid Betty | Season 8 | — | — | No later season return listed here |
| Adore Delano | Season 6 | All Stars 2 (All Stars) | — | Returned for All Stars |
| Darienne Lake | Season 6 | All Stars 8 (All Stars) | — | Returned for All Stars |
| April Carrión | Season 6 | — | — | No later season return listed here |
