# Comparison of web browsers
> Plugins and syndicated content support

| Browser | ActiveX [note 1] | NPAPI [note 1] | Java [note 2] | Gears | RSS | Atom | other web feed |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Amaya | No | ? | ? | No | No | No | ? |
| AOL Explorer | Yes | No | ? | No | Yes [note 3] | Yes [note 3] | ? |
| Avant | Yes | No | ? | ? | Yes [note 3] | Yes [note 3] | ? |
| Camino | No | Yes | ? | ? | Partial | Partial | ? |
| Dillo | No | ? | No | No | No | No | ? |
| ELinks | No | No | No | No | No | No | No |
| Flock | No | Yes | No | Yes | Yes | Yes | ? |
| Galeon | No | Yes | No | Yes | No | No | No |
| Google Chrome | No | Dropped [note 4] | Dropped [note 4] | Yes [note 5] | No | No | ? |
| iCab | No | Yes | ? | ? | Yes | No | ? |
| Internet Explorer | Yes | No [note 6] | No | Yes | Yes [note 3] | Yes [note 3] | Yes [note 7] |
| Internet Explorer for Mac | No | Yes | ? | No | No | No | No |
| K-Meleon | No | ? | No | ? | Yes | Yes | ? |
| Konqueror | No | Yes | No | No | Yes [note 8] | Yes [note 8] | ? |
| Links | No | No | No | No | No | No | No |
| Lynx | No | No | No | No | No | No | No |
| Maxthon | Yes | No | ? | ? | Yes | Yes | ? |
| Microsoft Edge | No | No | No | No | No | No | No |
| Mosaic | No | No | ? | No | No | No | No |
| Mozilla | No | Yes | No | No | No | No | ? |
| Mozilla Firefox | No | Dropped | Dropped | Yes | Yes | Yes | ? |
| Netscape | No | Yes | No | No | No | No | ? |
| Netscape Browser | No | Yes | No | No | Yes | Yes | ? |
| Netscape Navigator | No | Yes | No | No | No | No | ? |
| Netscape Navigator 9 | No | Yes | No | No | Yes | Yes | ? |
| NetSurf | No | No | No | No | No | No | No |
| OmniWeb | No | ? | ? | ? | Yes | Yes | ? |
| Opera | No | Yes | No | No | Dropped | Dropped | No |
| Pale Moon | No | Yes | No | Yes | Yes | Yes | ? |
| Polarity | Yes [note 9] | Yes [note 10] | No | No | Yes | ? | ? |
| QupZilla | No | Yes | No | No | Yes | No | No |
| Safari | No | Yes | Yes [note 11] | Partial [note 12] | Dropped | No | ? |
| SeaMonkey | No | Yes | No | Yes | Yes | Yes | ? |
| Shiira | No | ? | ? | ? | Yes | Yes | ? |
| Sleipnir | Yes | ? | ? | Yes | Yes [note 3] | Yes [note 3] | ? |
| surf | No | Yes | No | No | No | No | No |
| Web | No | Yes | No | No | No [note 13] | No [note 13] | No |
| WorldWideWeb | No | No | No | No | No | No | No |
| w3m | No | No | No | No | No | No | No |
| Browser | ActiveX [note 1] | NPAPI [note 1] | Java | Gears | RSS | Atom | other web feed |
