# Sovereign Credit Ratings Comparison (S&P vs Moody’s vs Fitch) with Outlooks — Country-Level Side-by-Side View

| Country | S&P Rating | S&P Outlook | Moody's Rating | Moody's Outlook | Fitch Rating | Fitch Outlook |
|---|---|---|---|---|---|---|
| Australia | AAA | Stable | Aaa | Stable | AAA | Stable |
| New Zealand | AA+ | Stable | Aaa | Stable | AA+ | Stable |
| South Korea | AA | Stable | Aa2 | Stable | AA- | Stable |
| Singapore | AAA | Stable | Aaa | Stable | AAA | Stable |
| Mexico | BBB | Stable | Baa2 | Stable | BBB- | Stable |
| Indonesia | BBB | Stable | Baa2 | Stable | BBB | Stable |
| Philippines | BBB+ | Stable | Baa2 | Stable | BBB | Stable |
| Italy | BBB | Stable | Baa3 | Stable | BBB | Stable |
| Spain | A | Stable | Baa1 | Stable | A- | Stable |
| Greece | BBB- | Positive | Ba1 | Positive | BBB- | Stable |
| Egypt | B | Stable | Caa1 | Stable | B- | Stable |
| Nigeria | B- | Stable | Caa1 | Stable | B | Stable |
