# MRI Spine & Pelvis SI Region CPT Mapping (Includes Pelvis)

| Region/Exam | Contrast Status | CPT Code | Category |
| --- | --- | --- | --- |
| Cervical Spine | Without contrast | 72141 | Spine MRI |
| Cervical Spine | With contrast | 72142 | Spine MRI |
| Thoracic Spine | Without contrast | 72146 | Spine MRI |
| Thoracic Spine | With & without contrast | 72157 | Spine MRI |
| Lumbar Spine | Without contrast | 72148 | Spine MRI |
| Lumbar Spine | With & without contrast | 72158 | Spine MRI |
| Sacrum/Coccyx | Without contrast | 72196 | Spine-adjacent |
| Pelvis | Without contrast | 72195 | Non-spine MRI |
| Pelvis | With & without contrast | 72197 | Non-spine MRI |
