# London Major Stations (Central Area) — Facilities and Fare Zones

| Station | Borough | Operator/Manager | Lines Served | Platforms | Fare Zone |
|---|---|---|---|---:|---|
| Waterloo | Lambeth | Network Rail | National Rail, Bakerloo, Jubilee, Northern, Waterloo & City | 24 | 1 |
| Victoria | Westminster | Network Rail | National Rail, Circle, District, Victoria | 19 | 1 |
| Liverpool Street | City of London | Network Rail | National Rail, Central, Circle, H&C, Metropolitan, Elizabeth line | 18 | 1 |
| London Bridge | Southwark | Network Rail | National Rail, Jubilee, Northern | 15 | 1 |
| Paddington | Westminster | Network Rail | National Rail, Bakerloo, Circle, District, H&C, Elizabeth line | 16 | 1 |
| King's Cross St Pancras | Camden | Network Rail / TfL | National Rail, Underground lines (multiple), Eurostar (St Pancras) | 14 | 1 |
| Euston | Camden | Network Rail | National Rail, Northern, Victoria | 18 | 1 |
| Canary Wharf | Tower Hamlets | TfL / Crossrail | Jubilee, DLR, Elizabeth line | 6 | 2 |
| Stratford | Newham | Network Rail / TfL | National Rail, Central, Jubilee, DLR, Overground, Elizabeth line | 13 | 2-3 |
