# Peer-to-Peer Lending Platforms  Risk Grades and Typical APR Bands (Not Minimum Eligibility)

| Platform | Risk Grade | Typical APR Range | Typical Loan Amount Range | Notes |
| --- | --- | --- | --- | --- |
| LendingClub | A | 7.9%–10.9% | $5,000–$40,000 | Rate depends on assigned grade |
| LendingClub | B | 10.9%–14.9% | $5,000–$40,000 | Higher grade usually means lower losses |
| Prosper | AA | 6.9%–9.9% | $2,000–$40,000 | Grade reflects expected performance |
| Prosper | C | 13.9%–19.9% | $2,000–$40,000 | Pricing varies by grade |
| Upstart | A | 5.4%–9.8% | $1,000–$50,000 | Model uses multiple factors |
| Upstart | D | 18.9%–29.9% | $1,000–$50,000 | Higher APR correlates with risk |
| Funding Circle | Low Risk | 10%–14% | $25,000–$500,000 | Business lending; risk tiering used |
| Funding Circle | High Risk | 18%–30% | $25,000–$500,000 | Tier reflects projected default |
| Peerform | A | 7.0%–10.0% | $1,000–$25,000 | Grade assigned after underwriting |
| Peerform | E | 20.0%–29.0% | $1,000–$25,000 | Lower grade implies higher losses |
