# London Major Stations Ranked by Peak-Hour Congestion (No Annual Passenger Totals)

| Rank | Station | Peak hour entries (avg, 08:00–09:00) | Measurement period | Notes |
| --- | --- | --- | --- | --- |
| 1 | Waterloo | 38,500 | Autumn survey week | Includes mainline + Underground gates |
| 2 | Victoria | 34,200 | Autumn survey week | High interchange volume |
| 3 | Liverpool Street | 31,900 | Autumn survey week | City commuter peak |
| 4 | London Bridge | 29,700 | Autumn survey week | Rebuild impacts flow |
| 5 | King's Cross | 28,600 | Autumn survey week | Major rail + Tube hub |
| 6 | Paddington | 25,400 | Autumn survey week | Heathrow peak demand |
| 7 | Euston | 24,100 | Autumn survey week | Intercity departures |
| 8 | Stratford | 23,800 | Autumn survey week | Strong AM inbound |
| 9 | Finsbury Park | 20,900 | Autumn survey week | Overground/TL interchange |
| 10 | Cannon Street | 19,600 | Autumn survey week | Short, intense peak |
