# Common Cations (Positive Ions) with Explicit Charge Notation

| Category | Ion name | Ion notation (with sign) | Notes |
| --- | --- | --- | --- |
| Alkali metal | Lithium ion | Li+ | typically forms +1 |
| Alkali metal | Sodium ion | Na+ | typically forms +1 |
| Alkali metal | Potassium ion | K+ | typically forms +1 |
| Alkaline earth metal | Magnesium ion | Mg2+ | typically forms +2 |
| Alkaline earth metal | Calcium ion | Ca2+ | typically forms +2 |
| Main-group metal | Aluminum ion | Al3+ | typically forms +3 |
| Transition metal | Iron(II) ion | Fe2+ | common +2 cation |
| Transition metal | Iron(III) ion | Fe3+ | common +3 cation |
| Transition metal | Copper(I) ion | Cu+ | also called cuprous |
| Transition metal | Copper(II) ion | Cu2+ | also called cupric |
| Transition metal | Zinc ion | Zn2+ | usually only +2 |
| Polyatomic cation | Ammonium ion | NH4+ | common molecular cation |
