# Wii-Style Fitness List  Yoga Labels Paired with Game Training Items (English Sanskrit-ish)

| Activity Type | English Label | Sanskrit/Transliteration | Typical Use |
| --- | --- | --- | --- |
| Game yoga | Deep Breathing | Pranayama | Relax mini-game |
| Game yoga | Half-Moon | Ardha Chandrasana | Balance challenge |
| Game yoga | Warrior | Virabhadrasana | Score-based holds |
| Game yoga | Tree | Vrksasana | Stability test |
| Strength training | Push-Up and Side Plank | Chaturanga + Vasisthasana | Combo set |
| Strength training | Jackknife | Navasana (approx.) | Core drill |
| Strength training | Single Leg Extension | Eka Pada (generic) | Leg toning |
| Strength training | Torso Twists | Parivrtta (generic) | Twist reps |
| Training | Jumping Jacks | N/A | Cardio interval |
| Training | Burpees | N/A | Conditioning |
