# Shot put
> Season 's bests

| Year | Distance | Athlete | Location |
| --- | --- | --- | --- |
| 1964 | 20.68 m (67 ft 10 in) | Dallas Long ( USA ) | Los Angeles |
| 1965 | 21.52 m (70 ft 7 in) | Randy Matson ( USA ) | College Station |
| 1966 | 21.09 m (69 ft 2   1 ⁄ 4 in) | Randy Matson ( USA ) | Los Angeles |
| 1967 | 21.78 m (71 ft 5   1 ⁄ 4 in) | Randy Matson ( USA ) | College Station |
| 1968 | 21.30 m (69 ft 10   1 ⁄ 2 in) | Randy Matson ( USA ) | Walnut |
| 1969 | 20.64 m (67 ft 8   1 ⁄ 2 in) | Neal Steinhauer ( USA ) Hans-Peter Gies ( GDR ) | Eugene Budapest |
| 1970 | 21.75 m (71 ft 4   1 ⁄ 4 in) | Randy Matson ( USA ) | Berkeley |
| 1971 | 21.12 m (69 ft 3   1 ⁄ 4 in) | Heinz-Joachim Rothenburg ( GDR ) | Moscow |
| 1972 | 21.54 m (70 ft 8 in) | Hartmut Briesenick ( GDR ) | Potsdam |
| 1973 | 21.82 m (71 ft 7 in) | Al Feuerbach ( USA ) | San Jose |
| 1974 | 22.02 m (72 ft 2   3 ⁄ 4 in)i | George Woods ( USA ) | Moscow |
| 1975 | 22.86 m (75 ft 0 in) | Brian Oldfield ( USA ) | El Paso |
| 1976 | 22.45 m (73 ft 7   3 ⁄ 4 in) | Brian Oldfield ( USA ) | El Paso |
| 1977 | 21.74 m (71 ft 3   3 ⁄ 4 in) | Udo Beyer ( GDR ) | Düsseldorf |
| 1978 | 22.15 m (72 ft 8 in) | Udo Beyer ( GDR ) | Gothenburg |
| 1979 | 21.74 m (71 ft 3   3 ⁄ 4 in) | Udo Beyer ( GDR ) | Linz |
| 1980 | 21.98 m (72 ft 1   1 ⁄ 4 in) | Udo Beyer ( GDR ) | Erfurt |
| 1981 | 22.02 m (72 ft 2   3 ⁄ 4 in) | Brian Oldfield ( USA ) | Modesto |
| 1982 | 22.02 m (72 ft 2   3 ⁄ 4 in) | Dave Laut ( USA ) | Koblenz |
| 1983 | 22.22 m (72 ft 10   3 ⁄ 4 in) | Udo Beyer ( GDR ) | Los Angeles |
| 1984 | 22.19 m (72 ft 9   1 ⁄ 2 in) | Brian Oldfield ( USA ) | San Jose |
| 1985 | 22.62 m (74 ft 2   1 ⁄ 2 in) | Ulf Timmermann ( GDR ) | Berlin |
| 1986 | 22.64 m (74 ft 3   1 ⁄ 4 in) | Udo Beyer ( GDR ) | Berlin |
| 1987 | 22.91 m (75 ft 1   3 ⁄ 4 in) | Alessandro Andrei ( ITA ) | Viareggio |
| 1988 | 23.06 m (75 ft 7   3 ⁄ 4 in) | Ulf Timmermann ( GDR ) | Hania |
| 1989 | 22.66 m (74 ft 4 in)i | Randy Barnes ( USA ) | Los Angeles |
| 1990 | 23.12 m (75 ft 10 in) | Randy Barnes ( USA ) | Westwood |
| 1991 | 22.03 m (72 ft 3   1 ⁄ 4 in) | Werner Günthör ( SUI ) | Oslo |
| 1992 | 21.98 m (72 ft 1   1 ⁄ 4 in) | Gregg Tafralis ( USA ) | Los Gatos |
| 1993 | 21.98 m (72 ft 1   1 ⁄ 4 in) | Werner Günthör ( SUI ) | Linz |
| 1994 | 21.09 m (69 ft 2   1 ⁄ 4 in) | Jim Doehring ( USA ) | New York City |
| 1995 | 22.00 m (72 ft 2 in) | John Godina ( USA ) | Knoxville |
| 1996 | 22.40 m (73 ft 5   3 ⁄ 4 in) | Randy Barnes ( USA ) | Rüdlingen |
| 1997 | 22.03 m (72 ft 3   1 ⁄ 4 in) | Randy Barnes ( USA ) | Indianapolis |
| 1998 | 21.78 m (71 ft 5   1 ⁄ 4 in) | John Godina ( USA ) | Walnut |
| 1999 | 22.02 m (72 ft 2   3 ⁄ 4 in) | John Godina ( USA ) | Eugene |
| 2000 | 22.12 m (72 ft 6   3 ⁄ 4 in) | Adam Nelson ( USA ) | Sacramento |
| 2001 | 21.97 m (72 ft 0   3 ⁄ 4 in) | Janus Robberts ( RSA ) | Eugene |
| 2002 | 22.51 m (73 ft 10 in) | Adam Nelson ( USA ) | Gresham |
| 2003 | 22.67 m (74 ft 4   1 ⁄ 2 in) | Kevin Toth ( USA ) | Lawrence |
| 2004 | 22.54 m (73 ft 11   1 ⁄ 4 in) | Christian Cantwell ( USA ) | Gresham |
| 2005 | 22.20 m (72 ft 10 in) | John Godina ( USA ) | Carson |
| 2006 | 22.45 m (73 ft 7   3 ⁄ 4 in) | Christian Cantwell ( USA ) | Gateshead |
| 2007 | 22.43 m (73 ft 7 in) | Reese Hoffa ( USA ) | London |
| 2008 | 22.40 m (73 ft 5   3 ⁄ 4 in)i | Adam Nelson ( USA ) | Fayetteville |
| 2009 | 22.16 m (72 ft 8   1 ⁄ 4 in) | Christian Cantwell ( USA ) | Zagreb |
| 2010 | 22.41 m (73 ft 6   1 ⁄ 4 in) | Christian Cantwell ( USA ) | Eugene |
| 2011 | 22.21 m (72 ft 10   1 ⁄ 4 in) A | Dylan Armstrong ( CAN ) | Calgary |
| 2012 | 22.31 m (73 ft 2   1 ⁄ 4 in) | Christian Cantwell ( USA ) | Champaign |
| 2013 | 22.28 m (73 ft 1 in) | Ryan Whiting ( USA ) | Doha |
| 2014 | 22.23 m (72 ft 11 in)Ai | Ryan Whiting ( USA ) | Albuquerque |
| 2015 | 22.56 m (74 ft 0 in) | Joe Kovacs ( USA ) | Monaco |
