# List of LGBT characters in film
> T

| Character | Show/film | Orientation | Media |
| --- | --- | --- | --- |
| Gregory Talbot | Boy Culture | Gay | Film |
| Brandon Teena | Boys Don't Cry | Transgender | Film |
| Margot Tennenbaum | The Royal Tennenbaums | Bisexual | Film |
| Tereza | Center of my World | Lesbian | Film |
| Idgie Threadgoode | Fried Green Tomatoes | Lesbian | Film |
| Annabelle Tillman | Loving Annabelle | Lesbian | Film |
| Toby | Transamerica | Bisexual | Film |
| Carroll "Toddy" Todd | Victor Victoria | Gay | Film |
| Creighton Tolliver | The Man Who Wasn't There | Gay | Film |
| Tony | Bend It Like Beckham | Gay | Film |
| Troy | Blast from the Past | Gay | Film |
| Catherine Tramell | Basic Instinct | Bisexual | Film |
| Jack Twist | Brokeback Mountain | Gay/Bisexual | Film |
| Teddy Smith | Legend | Gay | Film |
