# Hungarian Chess Championship
> Crosstables

|  | Player | Rating | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 0 | Points | TB | Perf. | +/- |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 1 | Judit Polgar ( Hungary ) | 2550 | * | ½ | 1 | ½ | ½ | ½ | ½ | 1 | 1 | ½ | 6 |  | 2648 | +12 |
| 2 | Andras Adorjan ( Hungary ) | 2530 | ½ | * | ½ | ½ | 1 | ½ | ½ | ½ | ½ | 1 | 5½ | 23.75 | 2608 | +10 |
| 3 | Gyula Sax ( Hungary ) | 2600 | 0 | ½ | * | ½ | 1 | 1 | ½ | ½ | 1 | ½ | 5½ | 23.25 | 2600 | 0 |
| 4 | Jozsef Horvath ( Hungary ) | 2540 | ½ | ½ | ½ | * | ½ | ½ | ½ | 1 | ½ | ½ | 5 | 21.75 | 2567 | +4 |
| 5 | Zsuzsa Polgar ( Hungary ) | 2535 | ½ | 0 | 0 | ½ | * | 1 | 1 | 1 | ½ | ½ | 5 | 20.25 | 2568 | +4 |
| 6 | Lajos Portisch ( Hungary ) | 2570 | ½ | ½ | 0 | ½ | 0 | * | 1 | ½ | 1 | ½ | 4½ |  | 2526 | -6 |
| 7 | Peter Lukacs ( Hungary ) | 2500 | ½ | ½ | ½ | ½ | 0 | 0 | * | ½ | ½ | ½ | 3½ | 16.00 | 2455 | -6 |
| 8 | Tibor Tolnai ( Hungary ) | 2480 | 0 | ½ | ½ | 0 | 0 | ½ | ½ | * | ½ | 1 | 3½ | 14.25 | 2458 | -3 |
| 9 | Attila Groszpeter ( Hungary ) | 2480 | 0 | ½ | 0 | ½ | ½ | 0 | ½ | ½ | * | 1 | 3½ | 14.25 | 2458 | -3 |
| 10 | Ivan Farago ( Hungary ) | 2515 | ½ | 0 | ½ | ½ | ½ | ½ | ½ | 0 | 0 | * | 3 |  | 2412 | -13 |
