# RuPaul's Drag Race — Returning Queens (Duplicates Not Consolidated)

| Queen | Season Appeared | Notes |
|---|---|---|
| Cynthia Lee Fontaine | Season 8 | Competing |
| Cynthia Lee Fontaine | Season 9 | Returned |
| Eureka O'Hara | Season 9 | Competing |
| Eureka O'Hara | Season 10 | Returned |
| Shangela | Season 2 | Competing |
| Shangela | Season 3 | Returned |
| Vanessa Vanjie Mateo | Season 10 | Competing |
| Vanessa Vanjie Mateo | Season 11 | Returned |
| Jasmine Masters | Season 7 | Competing |
| Jasmine Masters | All Stars 4 | Returned |
