# Blocked Social, Messaging, and Media Platforms in Mainland China (Name + Domain URL List)

| Category | Website / Service | Domain | URL |
|---|---|---|---|
| Social Networking | Facebook | facebook.com | https://www.facebook.com |
| Social Networking | Instagram | instagram.com | https://www.instagram.com |
| Microblogging | X (Twitter) | x.com | https://x.com |
| Messaging | WhatsApp | whatsapp.com | https://www.whatsapp.com |
| Messaging | Telegram | telegram.org | https://telegram.org |
| Messaging | LINE | line.me | https://line.me |
| Video / Streaming | YouTube | youtube.com | https://www.youtube.com |
| Video / Streaming | Twitch | twitch.tv | https://www.twitch.tv |
| News / Publishing | Medium | medium.com | https://medium.com |
| Q&A / Community | Quora | quora.com | https://www.quora.com |
| Developer Community | GitHub | github.com | https://github.com |
| Wiki / Reference | Wikipedia | wikipedia.org | https://www.wikipedia.org |
