# Hillcrest School Calendar Overview (Academic Year 2024–2025) — Term Starts and Holiday Starts

| Item | Date | Notes |
| --- | --- | --- |
| Autumn Term starts | 02 Sep 2024 | Students return |
| Autumn Half Term starts | 21 Oct 2024 | School closed from this date |
| Christmas Holiday starts | 20 Dec 2024 | Last day of term |
| Spring Term starts | 06 Jan 2025 | Staff INSET on 03 Jan |
| Spring Half Term starts | 17 Feb 2025 | One-week break begins |
| Easter Holiday starts | 04 Apr 2025 | Last day of term |
| Summer Term starts | 22 Apr 2025 | After Easter |
| Summer Half Term starts | 26 May 2025 | Break begins |
| Summer Holiday starts | 18 Jul 2025 | End of academic year |
