# RuPaul's Drag Race Franchise Returnees by Later Appearance (Selected Queens)

| Queen | Original Season (US) | Return Type | Returned In (Later Season/Series) | Placement/Note |
|---|---|---|---|---|
| Tatianna | Season 2 | All Stars return | All Stars 2 | Came back as a competitor |
| Jujubee | Season 2 | All Stars return | All Stars 1; All Stars 5; UK vs The World 1 | Multiple franchise re-appearances |
| Raven | Season 2 | All Stars return | All Stars 1 | Returned as a competitor |
| Cynthia Lee Fontaine | Season 8 | Contestant return | Season 9 | Returned after Season 8 |
| Derrick Barry | Season 8 | All Stars return | All Stars 5 | Returned as a competitor |
| Naomi Smalls | Season 8 | All Stars return | All Stars 4 | Returned as a competitor |
| Thorgy Thor | Season 8 | All Stars return | All Stars 3 | Returned as a competitor |
| Adore Delano | Season 6 | All Stars return | All Stars 2 | Returned as a competitor |
| Courtney Act | Season 6 | International return | Celebrity Big Brother (UK) | Returned in a different TV competition context |
| Bianca Del Rio | Season 6 | Guest return | Later franchise guest appearances | Appeared again outside competition |
