# Comparison of web browsers
> Internationalization

| Browser | Languages | Total |
| --- | --- | --- |
| Amaya [106] [107] | English (en), French (fr), Finnish (fi), German (de), Italian (it), Portuguese (pt), Russian (ru), Spanish (es), Chinese (zh-cn and zh-tw), Turkish (tr), Slovak (sk), Russian (ru), Norwegian (no), Georgian (ka), Japanese (ja), Hungarian (hu), Dutch (du), Ukrainian (uk) | 18 |
| AOL Explorer | English (en), French (fr), German (de) | 3 |
| Avant | English (en), Arabic, Basque, Bulgarian, Catalan, Croatian, Czech, Chinese Traditional, Danish, Dutch, French (fr), Frisian, German (de), Greek, Hebrew (he), Hungarian, Italian (it), Japanese (ja), Korean, Persian, Polish (pl), Portuguese (Brazilian) (pt-BR), Russian (ru), Spanish (es), Thai, Turkish, UK English, Ukrainian (uk) | 28 |
| Camino [108] | Chinese (Simplified and Traditional) (zh), Czech (cs), Danish (da), Dutch (nl), English (en), French (fr), German (de), Italian (it), Japanese (ja), Lithuanian (lt), Norwegian (Bokmål) (nb), Norwegian (Nynorsk) (nn), Portuguese (pt), Slovak (sk), Spanish (es), Swedish (sv) | 17 |
| Dillo [109] | English (en), Japanese (ja), Polish (pl), Russian (ru) | 4 |
| ELinks [110] | Bulgarian (bg), Croatian (hr), Czech (cs), Danish (da), English (en), French (fr), German (de), Hungarian (hu), Italian (it), Polish (pl), Portuguese (pt), Slovak (sk), Ukrainian (uk) | 13 |
| Flock [111] | Arabic (ar), Chinese (Simplified) (zh-CN), Chinese (Traditional) (zh-TW), English (en), Finnish (fi), French (fr), Georgian (ka), German (de), Hungarian (hu), Korean (ko), Polish (pl), Portuguese (Portugal) (pt-PT), Russian (ru), Slovak (sk), Spanish (Latin American) (es-AR), Spanish (Spain) (es-ES) | 16 |
| Galeon | Amharic (am), Azerbaijani (az), Belarusian (be), Bulgarian (bg), Bosnian (bs), Catalan (ca), Czech (cs), Danish (da), German (de), Greek (el), English (en), Spanish (es), Estonian (et), Basque (eu), Finnish (fi), French (fr), Irish (ga), Galician (gl), Croatian (hr), Hungarian (hu), Italian (it), Japanese (ja), Korean (ko), Lithuanian (lt), Latvian (lv), Macedonian (mk), Malayalam (ml), Mongolian (mn), Malay (ms), Dutch (nl), Norwegian (Bokmål) (nb), Norwegian (Nynorsk) (nn), Punjabi (pa), Polish (pl), Portuguese (pt), Romanian (ro), Russian (ru), Kinyarwanda (rw), Slovak (sk), Slovenian (sl), Albanian (sq), Serbian (sr), Swedish (sv), Tamil (ta), Turkish (tr), Ukrainian (uk), Vietnamese (vi), Walloon (wa), Chinese (Simplified) (zh) | 49 |
| Google Chrome | Arabic (ar), Portuguese (Brazilian) (pt-BR), Bengali (bn), Bulgarian (bg), Catalan (ca), Chinese (Simplified and Traditional) (zh), Croatian (hr), Czech (cs), Danish (da), Dutch (nl), English (UK/US), Estonian (et), Filipino, Finnish (fi), French (fr), German (de), Greek (el), Gujarati, Hebrew (he), Hindi (hi), Hungarian (hu), Indonesian (id), Italian (it), Japanese (ja), Kanada, Korean (ko), Latvian (lv), Lithuanian (lt), Malayalam (ml), Marathi (mr), Norwegian (no), Oriya (or), Polish (pl), Portuguese (pt), Romanian (ro), Russian (ru), Serbian (sr), Slovak (sk), Slovenian (sl), Spanish (es), Spanish (Latin America) (es-LA), Swedish (sv), Tamil (ta), Telugu (te), Thai (th), Turkish (tr), Ukrainian (uk), Vietnamese (vi) [112] | 50 |
| iCab [113] | German (de), English (en), Japanese (ja), Danish (da), French (fr), Spanish (es), Russian (ru), Norwegian (no), Chinese (Simplified) (zh) | 9 |
| Internet Explorer [114] | Afrikaans, Albanian, Amharic, Arabic, Armenian, Assamese, Azeri, Bangla (Bangladesh), Basque, Bengali (India), Bosnian (Latin), Bulgarian, Catalan, Chinese (Hong Kong SAR), Chinese (Simplified), Chinese (Traditional), Croatian, Czech, Danish, Dari, Dutch, English, Estonian, Filipino, Finnish, French, Galician, Georgian, German, Greek, Gujarati, Hausa, Hebrew, Hindi, Hungarian, Icelandic, Igbo, Indonesian, Irish, Italian, Japanese, Kannada, Kazakh, Khmer, KiSwahili, Konkani, Korean, Kyrgyz, Latvian, Lithuanian, Luxembourgish, Macedonian, Malay (Brunei Darussalam), Malay (Malaysia), Malayalam, Maltese, Maori, Marathi, Mongolian, Nepali, Norwegian (Bokmål), Norwegian (Nynorsk), Oriya, Persian, Polish, Portuguese (Brazil), Portuguese (Portugal), Punjabi, Quechua, Romanian, Russian, Serbian (Cyrillic)- Bosnia and Herzegovina, Serbian (Cyrillic)- Serbia, Serbian (Latin), Sesotho, Setswana, Sinhala, Slovak, Slovenian, Spanish, Swedish, Tamil, Tatar, Telugu, Thai, Turkish, Turkmen, Ukrainian, Urdu, Uzbek, Vietnamese, Welsh, Yoruba, isiXhosa, isiZulu | 95 |
| Internet Explorer for Mac | German (de), English (en), Spanish (es), French (fr), Italian (it), Japanese (ja), Swedish (sv) | 7 |
| K-Meleon [115] | Chinese (simplified) (zh), English (en), French (fr), German (de), Spanish (es), Russian (ru) | 6 |
