# Super Smash Bros. Melee — VS Match Milestones (Characters Mixed With Stages and Modes)

| VS Matches Played | Unlock | Type | How It Appears |
| --- | --- | --- | --- |
| 50 | Jigglypuff | Fighter | Challenger approaches |
| 100 | Dr. Mario | Fighter | Challenger approaches |
| 150 | Brinstar Depths | Stage | Available in VS stage select |
| 200 | Young Link | Fighter | Challenger approaches |
| 300 | Falco | Fighter | Challenger approaches |
| 400 | All-Star Mode | Mode | Added to main menu |
| 600 | Ganondorf | Fighter | Challenger approaches |
| 700 | Mewtwo | Fighter | Challenger approaches |
| 800 | Luigi | Fighter | Challenger approaches |
