# Pheasant
> Species in taxonomic order

| Vernacular | Hume & Marshall | Finn: Sporting Birds | Finn: Game Birds | Contemporary |
| --- | --- | --- | --- | --- |
| Vieillot's crested fireback | E. vielloti | Lophura rufa (sic) |  | L. ignita rufa |
| Black-backed kalij | E. melanonotus | G. melanonotus |  | L. leucomelanos melanota |
| Common or white-crested kalij | E. albocristatus | G. albocristatus |  | L. leucomelanos hamiltoni |
| Nepal kalij | E. leucomelanus | G. leucomelanus |  | L. leucomelanos leucomelanos |
| Purple, Horsfield's or black-breasted kalij | E. horsfieldi | G. horsfieldi |  | L. leucomelanos lathami |
| Lineated kalij | E. lineatus | G. lineatus also: Burmese silver pheasant |  | L. leucomelanos lineata |
| Anderson's silver pheasant | ? | G. andersoni , considered hybrid of L. nycthemera and L. l. lineata |  | L. nycthemera andersoni (invalid) |
| Crawfurd's silver pheasant (or Crawford's? ) | E. andersoni | considered a further cross of Anderson's and L. l. lineata |  | ? |
| Crawfurd's kalij (same as C.'s silver pheasant?) | ? |  | G. andersoni | L. leucomelanos crawfurdi |
| Cuvier's kalij | ? |  | G. cuvieri | ? |
| Oates's kalij | ? |  | G. oatesi | L. leucomelanos oatesi |
| Whitehead's silver pheasant | ? |  | G. whiteheadi | ? |
| Swinhoe's kalij | ? |  | G. swinhoii | L. swinhoii |
