# Harbor Lights (TV Series 2016–2020) — Full Cast & Crew Snapshot (Sorted by Person)

| Name | Department | Credit / Role on the show | Episode count | Years |
| --- | --- | --- | ---: | --- |
| Claire Weller | Cast | Emma Shaw (Series Regular) | 52 | 2016–2020 |
| Darius King | Cast | Detective Jonah Reed (Series Regular) | 48 | 2016–2019 |
| Simone Hart | Cast | Marina Voss (Recurring) | 19 | 2017–2020 |
| Kenji Sato | Cast | Dr. Aki Tanaka (Guest) | 4 | 2018–2019 |
| Olivia Brandt | Cast | News Anchor (Guest) | 2 | 2016 |
| Raymond Pike | Production | Executive Producer | 52 | 2016–2020 |
| Lila Morano | Production | Producer | 20 | 2018–2020 |
| Grant Ebner | Writing | Creator / Writer | 52 | 2016–2020 |
| Noelle Finch | Writing | Story Editor | 26 | 2017–2019 |
| Tomasz Lewin | Directing | Director | 10 | 2016–2020 |
| Iris Caldwell | Art Department | Production Designer | 30 | 2016–2018 |
