# Adobe Software Products and How They Were Commonly Sold (Creative Suite Era vs Creative Cloud)

| Product name | Product family | Available in Creative Cloud | Available in Creative Suite (legacy) | Standalone package availability (historical) |
| --- | --- | --- | --- | --- |
| Photoshop | Imaging | Yes | Yes | Yes (perpetual licenses in earlier eras) |
| Illustrator | Design | Yes | Yes | Yes (historical) |
| InDesign | Publishing | Yes | Yes | Yes (historical) |
| Acrobat | PDF | Often sold separately from CC | Sometimes bundled in certain CS editions | Yes (common as standalone) |
| Premiere Pro | Video | Yes | Yes | Yes (historical) |
| After Effects | Video / Motion | Yes | Yes | Yes (historical) |
| Dreamweaver | Web | Yes | Yes | Yes (historical) |
| Animate (Flash Professional) | Animation | Yes | Yes (as Flash Professional) | Yes (historical) |
| Audition | Audio | Yes | Sometimes (in select CS bundles) | Yes (historical) |
| Bridge | Utility | Included with CC | Included with CS | Rarely sold as standalone |
| Media Encoder | Utility | Included with CC | Included with CS (with video tools) | Not typically standalone |
| Camera Raw | Plug-in | Included with CC apps | Included with CS apps | Not typically standalone |
| Lightroom | Photography | Yes | No (not a core CS app) | Yes (historical) |
