# Central Bank Key Interest Rates by Country (Emerging Markets Focus) — Policy Rate and Last Update

| Country | Central bank | Key policy rate (name) | Rate (%) | Last updated (decision date) | Meeting frequency (typical) |
| --- | --- | --- | --- | --- | --- |
| India | Reserve Bank of India (RBI) | Repo rate | 6.50 | 2024-06-07 | ~Every 2 months |
| South Africa | South African Reserve Bank (SARB) | Repo rate | 8.25 | 2024-07-18 | ~6 per year |
| Turkey | Central Bank of the Republic of Turkey (CBRT) | One-week repo auction rate | 50.00 | 2024-06-27 | Monthly |
| Indonesia | Bank Indonesia (BI) | BI-Rate (7-Day Reverse Repo Rate) | 6.25 | 2024-07-17 | Monthly |
| Philippines | Bangko Sentral ng Pilipinas (BSP) | Overnight reverse repurchase rate | 6.50 | 2024-06-27 | ~8 per year |
| Thailand | Bank of Thailand (BoT) | 1-day repurchase rate (policy rate) | 2.50 | 2024-06-12 | ~6 per year |
| Malaysia | Bank Negara Malaysia (BNM) | Overnight Policy Rate (OPR) | 3.00 | 2024-07-11 | ~6 per year |
| Singapore | Monetary Authority of Singapore (MAS) | S$NEER policy band (no single rate) | N/A | 2024-04-12 | Semiannual |
| China | People’s Bank of China (PBoC) | 1-year Loan Prime Rate (policy-guided benchmark) | 3.45 | 2024-07-22 | Monthly |
| South Korea | Bank of Korea (BOK) | Base rate | 3.50 | 2024-07-11 | ~8 per year |
| Poland | Narodowy Bank Polski (NBP) | Reference rate | 5.75 | 2024-07-04 | Monthly |
| Czechia | Czech National Bank (CNB) | Two-week repo rate | 4.75 | 2024-06-27 | ~8 per year |
