# Judgment of Paris ( wine )
> The results

| Rank | Grade | Wine | Vintage | Origin |
| --- | --- | --- | --- | --- |
| 1. | 14 | Château Montrose | 1970 | France |
| 1. | 14 | Château Mouton-Rothschild | 1970 | France |
| 1. | 14 | Stag's Leap Wine Cellars | 1973 | USA |
| 1. | 14 | Ridge Vineyards Monte Bello | 1971 | USA |
| 5. | 13 | Heitz Wine Cellars Martha's Vineyard | 1970 | USA |
| 5. | 13 | Freemark Abbey Winery | 1969 | USA |
| 7. | 12 | Château Leoville Las Cases | 1971 | France |
| 8. | 11 | Clos Du Val Winery | 1972 | USA |
| 9. | 9 | Mayacamas Vineyards | 1971 | USA |
| 10. | 8 | Château Haut-Brion | 1970 | France |
