# Religious affiliation in the United States Senate
> Incumbent United States Senators

| Senator | Party | State | Religious affiliation |
| --- | --- | --- | --- |
| Kelly Ayotte | Republican | New Hampshire | Catholic [93] [94] |
| Maria Cantwell | Democrat | Washington | Catholic [95] [96] |
| Bob Casey, Jr. | Democrat | Pennsylvania | Catholic [97] [98] |
| Susan Collins | Republican | Maine | Catholic [99] [100] |
| Joe Donnelly | Democrat | Indiana | Catholic [101] [102] |
| Dick Durbin | Democrat | Illinois | Catholic [103] [104] |
| Kirsten Gillibrand | Democrat | New York | Catholic [105] [106] |
| Heidi Heitkamp | Democrat | North Dakota | Catholic [107] [108] |
| John Hoeven | Republican | North Dakota | Catholic [109] [110] |
| Tim Kaine | Democrat | Virginia | Catholic [111] [112] |
| Patrick Leahy | Democrat | Vermont | Catholic [113] [114] |
| Joe Manchin | Democrat | West Virginia | Catholic [106] [115] |
| Ed Markey | Democrat | Massachusetts | Catholic [116] [117] |
| Claire McCaskill | Democrat | Missouri | Catholic [118] [119] |
| Bob Menendez | Democrat | New Jersey | Catholic [120] [121] |
| Barbara Mikulski | Democrat | Maryland | Catholic [122] [123] |
| Lisa Murkowski | Republican | Alaska | Catholic [124] [125] |
| Patty Murray | Democrat | Washington | Catholic [126] [127] |
| Jack Reed | Democrat | Rhode Island | Catholic [128] [129] |
| Jim Risch | Republican | Idaho | Catholic [130] [131] |
| Mike Rounds | Republican | South Dakota | Catholic |
| Marco Rubio | Republican | Florida | Catholic [132] [133] |
| Dan Sullivan | Republican | Alaska | Catholic |
| Thom Tillis | Republican | North Carolina | Catholic |
| Pat Toomey | Republican | Pennsylvania | Catholic [134] [135] |
| David Vitter | Republican | Louisiana | Catholic [136] [137] |
