# High-Fiber Foods (Fruits & Vegetables) — Fiber Grams per Serving

| Category | Food | Serving size | Fiber (g per serving) |
| --- | --- | --- | --- |
| Fruit | Raspberries | 1 cup | 8.0 |
| Fruit | Pear (with skin) | 1 medium | 5.5 |
| Fruit | Apple (with skin) | 1 medium | 4.4 |
| Fruit | Avocado | 1/2 medium | 6.7 |
| Vegetable | Green peas, cooked | 1/2 cup | 4.4 |
| Vegetable | Broccoli, cooked | 1 cup | 5.1 |
| Vegetable | Brussels sprouts, cooked | 1/2 cup | 3.3 |
| Vegetable | Sweet potato (with skin), baked | 1 medium | 3.8 |
| Vegetable | Artichoke, cooked | 1 medium | 10.3 |
