# Debt Collection Wage Garnishment and Bank Levy Rules by State (Consumer Debt)

| State | Max wage garnishment (typical) | Bank levy allowed | Exemptions summary | Waiting period/notice |
|---|---|---|---|---|
| California | Up to 25% of disposable earnings (limits apply) | Yes | Head-of-household exemptions possible | Notice required |
| Texas | Generally prohibited for consumer debt | Limited | Strong protections for wages | Court order required |
| Florida | Up to 25% (varies) | Yes | Head-of-family exemptions | Notice required |
| New York | Typically up to 10% (varies) | Yes | Higher exemptions in some cases | Notice required |
| Illinois | Typically up to 15% (varies) | Yes | Some income protected | Notice required |
| Georgia | Typically up to 25% | Yes | Certain benefits exempt | Notice required |
| Washington | Typically up to 25% (limits apply) | Yes | Protected benefits exempt | Notice required |
| Nevada | Limits apply | Yes | Certain wages exempt | Notice required |
| Arizona | Limits apply | Yes | Some exemptions for low income | Notice required |
| Colorado | Limits apply | Yes | State-specific exemptions | Notice required |
| Ohio | Limits apply | Yes | Some benefits exempt | Notice required |
| Oregon | Limits apply | Yes | Exemption thresholds | Notice required |
