# Glycemic Index Categories for Staple Foods (Low Medium High)

| Food | GI category | Typical GI range | Example preparation |
|---|---|---|---|
| Lentils | Low | ≤55 | Boiled |
| Chickpeas | Low | ≤55 | Canned/drained |
| Apple | Low | ≤55 | Raw |
| Sweet corn | Medium | 56–69 | Boiled kernels |
| Brown rice | Medium | 56–69 | Cooked |
| White pita bread | Medium | 56–69 | Plain |
| White rice | High | ≥70 | Cooked, short-grain |
| Pretzels | High | ≥70 | Salted |
| Mashed potatoes | High | ≥70 | Instant mix |
| Watermelon | High | ≥70 | Raw slices |
