# DST Observation and Switching Rules (Country Territory Comparison — Americas & Caribbean Focus)

| Country/Territory | Subregion | DST observed? | Typical DST start | Typical DST end | Notes/Exceptions |
|---|---|---|---|---|---|
| United States | Northern America | Yes (most) | Second Sunday in March, 02:00 | First Sunday in November, 02:00 | Some areas do not observe (e.g., parts of AZ/territories) |
| Canada | Northern America | Yes (most) | Second Sunday in March, 02:00 | First Sunday in November, 02:00 | Some provinces/regions may not observe |
| Mexico | Central/Northern America | Partial/Varies | Varies by state (often matches nearby U.S. areas) | Varies by state (often matches nearby U.S. areas) | National policy differs by region; border alignment is common |
| Jamaica | Caribbean | No | Not observed | Not observed | No nationwide DST |
| Haiti | Caribbean | Policy-dependent | May be adopted/suspended by decree | May be adopted/suspended by decree | Practice has changed in some years |
| Cuba | Caribbean | Yes | Typically March (spring forward) | Typically November (fall back) | Dates can be adjusted by authorities |
| Nicaragua | Central America | No | Not observed | Not observed | No DST in typical recent schedules |
| Panama | Central America | No | Not observed | Not observed | No DST |
| Paraguay | South America | Yes | Typically Oct (spring forward) | Typically Mar (fall back) | Rules have changed; verify current decree |
| Uruguay | South America | No (currently not observed) | Not observed | Not observed | Previously used; currently not in effect |
| Chile (continental) | South America | Yes | Varies (often Aug/Sep) | Varies (often Apr) | Government may revise dates |
| Brazil | South America | No (currently not observed) | Not observed | Not observed | Nationwide DST currently discontinued |
