# List of Arkansas Civil War Confederate units
> Confederate Forces raised in Arkansas

| Regiment | Muster Date | Commanders | Alternate Designations |
| --- | --- | --- | --- |
| 1st Arkansas Infantry Regiment | May 6, 1861 | Colonel James F. Fagan Colonel John W. Colquitt [20] | 1st Arkansas Consolidated Infantry |
| 1st Arkansas 30 Day Volunteer Regiment | November 23, 1861 | Colonel James Haywood McCaleb | None |
| 1st Arkansas Consolidated Infantry [21] | April 9, 1865 | Colonel Edward Alexander Howell [22] | 1st Arkansas Infantry . 2nd Arkansas Infantry . 5th Arkansas Infantry . 6th and 7th Arkansas Infantry . 8th Arkansas Infantry . 24th Arkansas Infantry . 13th Arkansas Infantry . 15th (Josey's) Arkansas Infantry . 19th (Dawsons's) Arkansas Infantry . 3rd Confederate Infantry . |
| 1st Arkansas Consolidated Infantry (Trans-Mississippi) [23] | May 17, 1864 [24] | Colonel Jordan E. Cravens | 1st Arkansas Consolidated Infantry Regiment 14th Arkansas Infantry Regiment (Powers') , 15th (Northwest) Arkansas Infantry Regiment , 16th Arkansas Infantry Regiment , 21st Arkansas Infantry Regiment (Craven's) |
| 2nd Arkansas Infantry Regiment | June 26, 1861 [25] | Colonel Thomas C. Hindman Lieutenant Colonel J. W. Bacoge Lieutenant Colonel Elbridge Brasher Colonel Daniel C. Govan [26] Lieutenant Colonel E. Warfield [27] | Hindman's Legion 1st Arkansas Consolidated Infantry |
| 2nd Arkansas 30 Day Volunteer Regiment | November 18, 1861 | Major Allen | None |
| 2nd Arkansas Consolidated Infantry | May 17, 1864 [24] | Colonel T.J. Reid [23] | 12th Arkansas Infantry Regiment 18th Arkansas Infantry Regiment 23rd Arkansas Infantry Regiment 8th Arkansas Infantry Battalion 12th Arkansas Infantry Battalion |
| 3rd Arkansas Infantry Regiment | July 5, 1861 | Colonel Albert Rust Colonel Van H. Manning [28] Lieutenant Colonel Robert S. Taylor [29] | None |
| 3rd Arkansas Consolidated Infantry [23] | May 17, 1864 [24] | Colonel H. G. P. Williams | 15th (Gee/Johnson) Arkansas Infantry Regiment . 19th Arkansas Infantry Regiment, (Dockery's) 20th Arkansas Infantry Regiment . |
| 4th Arkansas Infantry Regiment | August 17, 1861 | Colonel Evander McNair , Colonel H. G. Bunn [30] | Southwestern Arkansas Regiment 1st Arkansas Mounted Rifles (Consolidated) |
| 5th Arkansas Infantry Regiment | June 28, 1861 (State Service) July 27, 1861 (Confederate Service) | Colonel David C. Cross, Colonel Lucius Featherston, Colonel Peter V. Green, Colonel John E. Murray [26] | Fighting Fifth [31] 1st Arkansas Consolidated Infantry |
