# 2008 NASCAR Craftsman Truck Series
> Races

| Pos. | No. | Driver | Make | Team |
| --- | --- | --- | --- | --- |
| 1 | 23 | Johnny Benson | Toyota | Bill Davis Racing |
| 2 | 22 | Michael Annett | Toyota | Bill Davis Racing |
| 3 | 88 | Matt Crafton | Chevrolet | ThorSport Racing |
| 4 | 18 | Dennis Setzer | Dodge | Bobby Hamilton Racing-Virginia |
| 5 | 11 | David Starr | Toyota | Red Horse Racing |
| 6 | 51 | Kyle Busch | Toyota | Billy Ballew Motorsports |
| 7 | 5 | Mike Skinner | Toyota | Bill Davis Racing |
| 8 | 60 | Terry Cook | Toyota | Wyler Racing |
| 9 | 15 | Marc Mitchell R | Toyota | Billy Ballew Motorsports |
| 10 | 33 | Ron Hornaday | Chevrolet | Kevin Harvick Inc. |
