# List of In Living Color episodes
> Episodes

| No. in Series | No. in Season | Air Date | Sketches |
| --- | --- | --- | --- |
| 40 | 1 | 22 September 1991 | "Sleazo's Pee Wee Herman Mugshot Doll and Pornhouse Playset" " Crown Heights Story" (cut from DVD) "Misery II: with Rick James " " Homey D. Clown : Homey Meets the Man" (conclusion to last season's "Homey Sells Out" sketch) "The Head Detective Goes Undergarment" |
| 41 | 2 | 29 September 1991 | "Kung Fu Master '91" "The Al Sharpton and Louis Farrakhan Comedy Hour: Jews on First" "Velma Mulholland: The Burglar " "Oswald Bates: The Silence of The Lambs II" "Men on Film: Straight Man Out" (conclusion to previous season's cliffhanger Blaine Becomes Hetero) |
| 42 | 3 | 6 October 1991 | " Clarence Thomas : Sweet Clarence's Badass Song" "El Grande Y Spectacular Muchacho Rockeeter" (a.k.a "The Mexican Rocketeer") "Al MacAfee: Sex Ed Hall Monitor" "Butt-Out Jeans by Prince" "Benita Butrell: Carnival Booth" "Anton: Shakespeare in the Park" |
| 43 | 4 | 13 October 1991 | " Jesse Jackson 's Children Books" (a.k.a "Green Eggs and the Gubmint Cheese") " LL Cool JJ -- Mama's Gonna Kick Me Out" (cut from DVD) "Hey Mon: The Hedleys vs. The Wans" "Funky Finger Productions" "Fire Marshal Bill: Cruise Vacation" Close featuring Leaders of the New School |
| 44 | 5 | 20 October 1991 | " Clarence Thomas : I'm Going to Girlie World" "Closeted Gay Construction Guys" "Snackin' Shack: Pirate-Themed" "Dinner at Lizzy's" "Cephus and Reesie: Bar Mitzvah " "Handi-Man: The Adventures of Handi Boy" |
| 45 | 6 | 27 October 1991 | " Sally Struthers : Adopt a Child Star" "Muttco's Coyote Ugly One-Night Stand Escape Kit" "The Brothers Brothers: Black Like You" " Minute Maiden and Minute Man Sex Partner Replacement Juice" "Ninja Home Security System" " Home Alone Again with Michael Jackson ", featuring Jonathan Taylor Thomas as Macaulay Culkin Close Featuring Nice and Smooth |
| 46 | 7 | 3 November 1991 | "The Jackson Bunch" (parody of The Brady Bunch —cut from DVD) "Act Up! Guy in the Park" " Arsenio Hall : Dare To Say 'Hmmmm" " Ice Poe : Street Poet" "Samantha Kinison: The Kinisons at Home" (featuring Sam Kinison) Close Featuring Sam Kinison |
| 47 | 8 | 10 November 1991 | "Paula Abdul - Promise of a Thin Me" (cut from DVD) "Sheila Peace" "Les and Wes On The Run" "Timbuk: The Last Runaway Slave" "Late Night with Mike Tyson " Close Featuring Big Daddy Kane |
| 48 | 9 | 17 November 1991 | " The David Duke Show " (cut from DVD) "Oswald: 48 Hours Again" " Krishna Cop" "My Songs are Mindless" (cut from DVD) " Family Feud " with guest Ray Combs " "Detective Head Meets Mrs. Potato Head " Close Featuring Queen Latifah |
| 49 | 10 | 24 November 1991 | "The Wilt Chamberlain Memorial" "My Left Foot of Fury" "The Groom Room" "Frenchie Goes to Alcoholics Anonymous" "Skully Conditioner" "Men on Film Festival" |
| 50 | 11 | 8 December 1991 | " Jimmy Swaggart : Heaven or Hell?" "Benita Butrell: Witness for the Prosecution" " Calhoun Tubbs Mentors A British Rock Star" "Anton and The Undercover Journalist" " LL Cool J : Mama Said Knock You Out " |
| 51 | 12 | 15 December 1991 | " Bill Cosby for The Cosby Condom" " HBO 's Tired Comedy Night" "Lil' Magic: Helen Keller " "Tes-T-Shields Masculine Hygiene Pads" "Sidekick in Nam !" "The Ugly Woman's Blind Date" |
| 52 | 13 | 22 December 1991 | "Equity Express Blue Dot/Kennedy Carte Blanche" "Tommy Wu Seminar" "Homey the Clown: Homey at the Circus" "Great Moments in Black History: The Jheri Curl" "Kid Spike Lee" "Fire Marshal Bill: Fire Marshall Santa" |
| 53 | 14 | 12 January 1992 | "B.S. Brothers at the Funeral" Darnel Bond: Agent 006 (cut from DVD) "Handi-Man and the Tiny Avenger" Michael Jackson: Am I Black or White (cut from DVD) Close Featuring A Tribe Called Quest |
| 54 | 15 | 19 January 1992 | "Me Want Maury" (cut from DVD) "Frenchie at Lamaze Class" " The Big Apple Airlines " "Death Takes a Holiday (a.k.a. The Grim Reaper's Vacation)" " Star Trek : The Really Last Voyage" |
| 55 | 16 | 26 January 1992 | (Live Super Bowl Halftime Show) "Homeboyz Shopping Network" "Fire Marshall Bill at the Sports Bar" "Sugar Ray's Celebrity Interviews" "Men on Football" (all versions -- including DVD prints and reruns on FX, FXX, BET, and Centric -- edit out adlibbed lines implying that Richard Gere and Carl Lewis are homosexuals) "Background Guy: Super Bowl Interview" "Close featuring Color Me Badd |
| 56 | 17 | 2 February 1992 | "George H.W. Bush Acts Like Tommy Wu" "The Detective Head Gets Framed" "Don Rickles at a Peace Conference" "Arsenio Hall Harasses Eddie Murphy" ("Cape Fear II") |
| 57 | 18 | 9 February 1992 | "Sally Struthers: Feed the Planet" "The Church of Discount Sin Televangelists on Trial" "Down Wit' MSG" (" O.P.P. " spoof) (cut from DVD) "Ugly Wanda: Masseuse" |
| 58 | 19 | 16 February 1992 | "FOX Special: Elvis Sighting" "Vera De Milo: The Fist that Rocks the Cradle" "Male Bonding in the Woods" "House Party 3" "Ghost II: Sammy Davis, Jr.'s Spirit" Close featuring Eric B. and Rakim |
| 59 | 20 | 23 February 1992 | "Club Ozone" "Al MacAfee: McBurgers Security Guard" "Richard Simmons' Shed-A-Bed Diet Program" "Benita Butrell: Class Reunion" "Men on Vacation" Close featuring Shabba Ranks and Maxi Priest |
| 60 | 21 | 1 March 1992 | "Career Aid" (cut from DVD) "Anton: Suburban Marriage" "Chillin'" "Handi Man: The Sequel" |
| 61 | 22 | 15 March 1992 | "The Player's Club brand Billy Club" "Snackin' Shack: President's Day" "Act Up! Guy At the Art Gallery" "Homey the Clown: Kindergarten Substitute Teacher" Close featuring Black Sheep |
| 62 | 23 | 29 March 1992 | "Tester's Choice" (a.k.a. Fatal Attraction Coffee Commercial) "The Brothers Brothers on The $100,000 Pyramid " "The Last Man on Earth" "Men on Videotape Rentals" Close featuring Kris Kross |
| 63 | 24 | 12 April 1992 | (Released on DVD as episode 10 of Season 4) "MC Hammer: Too Sold Out to Quit" (cut from DVD) "Timbuk: The Last Runaway Slave " (from Season 3, episode 8: This sketch is not shown on FXX repeats as well as On Demand, but it has been replaced with "The Al Sharpton and Louis Farrakhan Comedy Hour: Haunted House") " Rescue Whenever " "The One Night Stand" "Anton Gets Rich" |
| 64 | 25 | 12 April 1992 | (not included on the DVD; all of the sketches are from previous episodes) "Wilt Chamberlain Memorial" (from Season 3, episode 10) "The Al Sharpton and Louis Farrakhan Comedy Hour: Jews on First" (from Season 3, episode 2) "Velma and The Burglar " (from Season 3, episode 2) "Men on Football" (from Season 3, episode 16) "Ugly Woman: Blind Date" (from Season 3, episode 12) |
| 65 | 26 | 7 May 1992 | Music video special; new wraparounds with Crystal as Downtown Julie Brown (entire episode omitted from DVD) Michael Bolton: "When a Man Needs a Big Hit" MC Hammer: "Can't Touch This" (from Season 1, episode 11) Crystal Waters: "My Songs Are Mindless" (from Season 3, episode 9) Vanilla Ice: "White White Baby" (from Season 2, episode 15) Prince Butt Out Jeans (from Season 3, episode 3) Paula Abdul: "Promise of a Thin Me" (from Season 3, episode 8) Jimmie Walker: "Mama's Gonna Kick Me Out" (from Season 3, episode 4) Michael Jackson: "Am I Black or White" (from Season 3, episode 14) Closing: Jodeci performs "X's We Share" |
| 66 | 27 | 26 April 1992 | Blooper Episode: Full episode showing outtakes and gaffes from In Living Color sketches |
| 67 | 28 | 3 May 1992 | "Krazy Poly-Dente" "Cousin Elsee" "B. S. Brothers: Hollywood Tour" "Reality Check: Bald Men vs. Men with Hair" "Les and Wes: Go West, Les and Wes" Close featuring Heavy D and The Boyz |
| 68 | 29 | 10 May 1992 | "SillyCone Breast Implants" "Benita Butrell: Delegate" "Crazy Tom's" "LaShawn: Museum Guide" "Fire Marshal Bill: Space Station Safety" Close featuring MC Lyte |
| 69 | 30 | 17 May 1992 | "The Law Offices of Oswald Bates" "Detective Head: On Head Majesty's Secret Service" "Super Clyde" "Ugly Woman: Dating Game" |
